UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
97082,95240,90789,95211,93668,98610,98127,90042,91371,94299,91208,94602
93583,94393,93502,93241,94187,95629,95000,99518,94348,93948,92880,90218
96697,92144,99564,94151,92966,96361,94723,92537,99758,90711,97756,99605
91912,97883,92213,97656,90618,91203,93930,98784,95296,90534,97911,91350
91258,98127,93786,98787,90141,95156,98141,94358,97528,98300,96599,90756
97495,96321,95039,91883,97417,96406,99243,99430,97388,94053,93499,96205
98643,90916,98797,99266,99338,98315,93463,93311,98227,92282,93169,96765
98226,91873,91225,90192,93887,96759,93852,92540,90890,95822,97491,93888
97924,94193,90435,99334,92769,97212,93854,96750,99774,95875,90515,93344
99488,93930,90157,90548,99803,94028,94463,98493,94070,95736,91599,94397
95889,99228,97863,99017,99434,91991,99455,97062,96072,92876,93349,93366
95317,90499,99299,92249,97109,96883,94242,96774,98187,99212,94642,91879
95371,92546,90928,91666,99378,92556,95198,98666,94769,97389,98152,92787
93119,98106,97544,92122,90144,97435,96550,93515,96322,95812,97239,95748
91812,99208,95749,94495,93069,91245,93953,90703,98673,99011,97405,94461
91239,97112,94532,94972,94328,92287,99463,90620,97020,95699,92516,93855
95784,96663,96778,92196,91005,92960,90954,94133,93383,95881,93664,90732
94814,92273,97609,92129,97407,94808,90054,99594,94213,91242,95131,90668
93578,95585,98933,94507,90404,92524,99861,93485,92162,96859,92141,94554
99438,96779,92292,93672,93121,96207,96633,97017,93551,96623,90734,91334
95966,95027,97650,91608,97078,90793,91435,92070,97666,96964,91355,92679
96225,93124,92891,99476,94639,95921,99855,93881,97341,93579,92175,96122
90166,92388,99856,99917,90274,90880,93160,91880,94630,95376,91840,96894
92024,99181,97674,90429,91259,98210,94080,92427,97633,93836,94406,93759
99942,96444,98129,93507,90458,94300,99586,96838,97674,99031,90206,94711
90533,92227,97915,92883,96945,99578,98866,93016,93514,91215,92921,92088
96724,96420,99439,93328,97950,98204,97721,92246,93594,97396,90099,92237
92824,92624,97923,96344,94613,90898,94928,99817,99873,91887,99441,93375
94447,95451,91109,96471,95090,98346,95098,96595,94399,95529,94102,97288
91688,90857,93852,97417,97142,99249,91318,90986,97865,90406,94149,90169
99217,98633,90966,95224,96668,90451,98055,91555,93693,93738,94820,91342
91430,98092,96381,98350,98614,96010,94114,94906,93462,95637,96541,90788
93662,94829,95454,95792,98545,99076,91140,94080,95949,93305,93687,92581
91183,96579,93767,90311,99192,92221,99987,97273,90405,94417,95029,96202
97311,95341,94162,90326,92398,95986,96384,94870,92467,91734,98008,95434
96527,96093,98410,95188,99906,93371,96633,99244,97384,95296,90752,93822
95143,96442,98002,99016,91889,99600,93367,94438,99236,90795,93081,92248
94552,98948,97637,95922,99771,98524,93608,93901,98913,95726,93879,91969
91908,99483,97125,98046,90012,93616,98314,91865,96905,98218,99345,97656
95087,99929,91278,94115,93185,93382,97862,94090,97587,90406,93238,99951
96303,99239,94840,95657,90499,99714,91859,97094,91327,96896,92826,93073
91321,91868,90246,91628,90325,90827,90801,90656,95893,90706,90608,94966
95883,95111,94432,95465,90851,90140,99596,90999,92630,92616,95785,97213
94075,91078,93900,95123,96677,90279,97557,99345,99011,93318,91929,95226
93081,95464,91031,92176,91219,90371,97244,91332,99439,92290,93548,96152
98617,93465,92842,96423,92349,94789,92284,92037,91849,99157,90061,94912
90548,99086,99633,93100,92767,90785,96425,98151,91801,96354,95055,93077
96522,97097,97625,98762,90687,97390,92398,91933,93312,95348,93502,98338
