UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
90139,92616,95078,97037,92386,95380,97792,98022,97537,93640,96355,92185
99841,94001,97845,90289,94756,93769,98509,95353,92364,92238,91099,96928
98279,92293,95914,94470,96068,95395,98260,94292,90864,99934,94466,91439
95715,93711,95853,98971,93328,99099,92539,91030,92044,93270,90419,99636
96285,97117,97474,93392,94905,99465,95596,98265,93355,97891,94269,98805
96276,99024,94476,92227,91484,99225,92573,98213,98708,98798,95282,92297
96586,91630,90605,98379,96115,94613,94312,92155,98678,97988,95797,91056
98875,93487,95534,96907,91942,91939,99283,99693,90366,96738,92506,95010
92930,92427,96332,94396,96239,94941,97756,96945,93123,91847,99136,95955
92328,98655,93184,92466,96320,92980,93522,99863,90401,93714,94188,97249
92239,94355,95731,90280,99686,96963,92987,98058,92201,90003,95540,90010
96837,90920,99587,91498,92481,99868,91699,96906,91850,95873,98386,97026
92296,95304,98900,90542,96264,97766,99816,92340,92819,96968,97006,90513
93955,97798,95349,92864,94517,91948,93496,92364,98528,90455,98020,95484
97809,91399,91154,92883,93325,92613,96205,99484,99834,95644,91321,97962
96642,97362,95950,92111,97637,98425,99366,94277,95740,96951,94340,96089
94422,90920,96072,93991,95630,99834,90881,93239,99845,98949,95618,91050
95688,91674,94443,98824,95081,98359,99405,91198,94776,97897,90266,99695
96674,95348,93055,94272,95951,90641,97485,98625,90082,98513,96339,93445
95271,90295,90073,96454,97900,90619,97383,94014,94055,95595,98997,97949
99408,96546,90716,96653,90779,99633,94753,91730,94524,92220,93059,99155
94444,97045,94192,98674,93162,90596,96585,90526,97272,99075,99789,99330
92249,99034,97793,95355,95103,91434,99645,92098,91297,96893,91172,92968
91613,92967,93897,95594,93011,99895,98534,91121,92635,98955,96932,97983
96541,94405,94563,96076,94713,99094,93690,96288,90249,92255,95363,97701
92053,98609,92304,94695,95960,95100,93173,93449,94764,99710,99366,96147
90812,90941,96063,95337,92575,96089,91128,95225,94805,93760,97595,98627
98042,90541,92821,99245,91934,96119,98299,94772,92502,97296,99882,91401
94970,98742,95840,96349,93889,90674,93186,90189,91176,98199,93215,95410
99526,95236,94508,99996,90399,99430,94746,94640,90201,93046,92602,92802
98079,90248,90754,93503,96906,97260,93431,99876,95960,97505,94837,92599
90168,96415,92216,99679,97066,95554,91051,90865,90132,98406,90189,96051
91552,94681,93923,91829,97280,94823,98288,92578,92267,95851,90097,93628
95579,94558,96610,97435,93978,92497,96547,99255,97225,97211,99187,98672
98893,90736,93392,99508,90617,90712,95978,96897,97005,97681,99613,93427
91556,91701,98080,99311,90884,94499,99251,97961,96527,97717,96328,99492
95450,99731,96114,91268,98772,97647,92582,98961,96755,94022,92566,93634
91710,93281,93850,96855,91791,90700,92352,96308,96484,95954,94593,92815
95635,97602,93924,93936,91575,91353,96677,98793,99183,98488,96005,90772
98200,91036,93509,95860,96911,96752,96640,91445,91288,99443,93224,98676
94475,99772,98709,90757,90175,97088,93512,96568,97816,99318,95376,98478
96875,92566,97594,98437,94932,93822,94201,91876,99087,95118,93824,97440
98948,92982,91204,94042,97147,96362,91142,98075,91028,94098,99524,95815
99365,90139,93822,92228,98591,97642,97981,90813,97627,97865,94888,94956
90062,91563,95128,96240,98118,98057,92835,91424,96400,92696,91597,90754
93324,90758,94777,95808,95411,93082,91816,94789,92775,93485,95996,92426
93087,99463,99892,93614,94903,96261,99154,97412,96549,91970,92905,90125
99690,90919,90819,97436,97669,96960,99465,98554,92291,90055,98157,92098
97712,96593,95771,98591,96653,93518,90135,96455,97071,96356,95975,97628
91255,92318,93751,99135,90175,97695,99823,93110,90016,91772,95513,94294
95189,90908,96338,92130,90034,90295,97347,95034,95355,95066,91585,90676
95625,91341,90688,90706,96973,96465,92500,90177,91758,99110,99979,90536
94056,92918,94472,96855,93252,94836,94808,92091,91287,97016,93215,97398
98079,95189,97137,91875,92867,95504,97097,93879,91486,94550,94020,93600
96798,93025,94032,95166,98470,98555,90878,90941,98874,91784,90630,91814
91368,96838,96670,96960,92930,93447,90116,97205,95639,97395,91876,93331
93362,98196,97795,99125,96332,96745,93071,99736,99427,92511,91513,99711
90085,93924,98250,99421,90487,97781,99091,91336,92983,97272,96244,97422
90814,91682,92913,90957,96872,90597,93487,97780,95173,97396,90866,95192
97817,95474,99546,96563,90619,95807,93262,98616,94472,96469,93149,90100
90897,94402,92901,94356,96612,94718,95837,99097,94392,95803,90076,92443
93403,90887,98164,96608,98843,99787,98898,97424,92318,91038,90626,96291
95621,95928,93306,90403,95834,93419,91623,90883,99992,90927,90955,98222
93239,94173,91606,94113,90428,96020,92552,99203,93550,91385,99947,97836
96755,98449,92644,98754,95226,92302,93821,90761,96499,92326,93947,93637
91600,98428,94247,92279,91857,98605,93169,90628,92548,90885,99777,90607
98758,98405,97760,91040,94441,92382,91904,92707,95012,96334,94728,92926
95978,92442,96365,92666,90505,97580,92385,99191,91238,93303,99723,95261
96701,91466,94437,91470,98056,91220,93718,99901,91564,90719,98471,96939
94590,93380,99294,92082,99046,94205,93048,94558,90182,90599,93324,92955
97628,96133,95463,97548,95720,96946,98381,99554,90209,95335,92261,99301
99303,99594,91273,95598,98943,90491,92504,95915,94761,95973,95612,95707
99159,95359,96849,90530,96707,90448,92827,90943,92940,90461,99066,93011
93420,94202,94031,94706,99270,90182,94946,98860,94442,91725,90660,91247
93719,97153,94432,94345,94155,91081,96451,92867,99645,97044,99879,99990
90459,97457,98925,95996,93734,93801,90235,95579,97932,96231,98440,91061
93664,92110,95293,97140,98034,97409,90300,94462,90294,96055,98308,94201
98962,93150,98194,92404,90267,99289,93259,90816,93136,95523,97778,97752
92311,91649,90668,97925,94746,91423,93196,92883,91388,91728,97506,91628
94806,91283,95892,97663,98731,91497,95155,93845,90022,93934,90591,93873
96682,90975,93561,97479,90494,95774,90746,94506,91365,94611,97173,94953
90009,94029,93439,94328,99498,90323,93461,98335,96110,95498,93492,98655
98912,98624,91338,90943,95399,97919,91951,94865,90709,99172,98415,94992
94926,92980,95340,94539,97211,91992,99353,90156,95034,92924,96013,96886
94678,92426,97469,91128,92757,92685,93401,99942,98257,95428,99534,98793
92964,93432,92960,96294,93575,99915,95950,96435,93308,90266,92700,94822
92840,98222,98076,97495,94919,98078,94245,98717,97024,95022,96186,98436
92587,97227,94893,97572,98753,90209,94656,92003,94617,90878,96363,95363
90115,97574,93999,95617,90992,99853,98608,95956,94326,93273,92264,96966
91529,97898,93239,91235,90422,99581,94587,97178,95990,99433,90301,94580
95922,93458,90505,90871,92001,98783,98476,98956,98539,95152,98437,98952
90752,91306,99973,93569,96881,99166,96976,98522,95141,95985,97851,94070
90742,95789,90743,95390,94711,94640,95096,99772,97585,98768,91028,98410
95407,96149,90613,93109,97996,97385,94088,98882,94608,97979,95494,96667
97623,97525,94840,97350,99957,98126,95469,98007,97321,93039,92772,92575
90047,92752,90696,94474,95503,91357,91413,93037,97434,99336,95919,95246
90677,90941,93030,93113,92431,92332,93809,98745,98768,98639,97712,91317
99231,97135,92569,97539,99636,90798,95401,94829,91558,91607,91674,95749
99255,98526,93153,99754,94391,97475,96166,93782,91644,91305,94154,90547
97768,92635,91031,99578,91395,93863,95749,96472,93704,97945,98060,99063
93309,98362,90042,94158,96294,96039,93134,98896,92706,93806,98508,93212
93342,97249,99348,91336,92619,95399,97870,94513,96828,99471,91877,99076
93211,90559,90443,96210,91218,98260,92642,91668,99953,97037,90348,91480
94850,90336,98301,97202,97213,95894,91948,98513,97688,90643,99188,94028
98248,94349,96555,98482,97817,90126,91147,94274,91520,95266,99676,91390
93767,96605,96160,90292,92935,97144,96270,90431,94679,92357,96599,98325
99924,90990,95028,91587,91810,92255,93626,98125,97293,90566,99132,94017
99312,94078,98688,95327,94431,97399,93281,99950,95458,96685,91565,98041
98730,95890,96540,91843,99055,94989,91210,96549,93825,96159,91315,99863
95880,91860,94664,95381,95851,97063,92058,98219,90134,91057,97240,95747
99517,94028,95789,99495,92159,94097,99299,98439,94366,95741,98880,94238
90315,92833,95870,98756,94510,99439,92262,95258,98503,90157,97587,91476
96553,93223,94221,94632,99959,97287,93928,98659,90437,93383,92206,90688
93988,92665,99517,97223,95812,94183,97212,90655,95758,93200,93983,98100
94081,98481,95788,96373,98411,94250,98514,97488,94943,95138,93529,91007
99008,93818,91661,97111,93261,91696,98142,99764,95608,90766,97407,96476
91421,93633,92952,95781,91190,90185,90234,96807,97472,91658,96192,95489
99517,95461,99439,93065,93993,98098,96872,97817,98464,94586,95550,94496
