UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
83864,97311,87470,91936,94765,90324,88910,92205,93370,87902,81445,93806
96988,98579,90328,84159,80629,85740,93157,97714,83109,92449,95478,98406
91599,85115,91784,81500,87773,92140,84102,83177,80523,97197,92077,91165
99988,86953,88574,94679,93584,93317,87783,99247,85597,88282,96190,92712
86135,99340,81088,81365,87942,90705,80943,97000,80161,83604,96613,91258
87351,89230,92691,95088,91194,98107,81196,87691,92312,80114,91880,92961
89024,96364,87947,80671,85501,97785,89095,81375,98457,93585,90670,88644
88384,92431,89286,85273,84091,96300,94239,98097,80536,96925,88725,85286
83691,93179,96235,92210,88096,85395,88199,91114,82784,82862,80821,83824
81312,98985,99472,91139,96430,83181,81718,89842,91057,94873,81999,92303
81709,84182,81710,97650,85585,90067,82707,97047,81308,95536,94107,94165
87266,81234,89375,81822,96902,82272,95301,83981,94668,82170,99790,89477
96694,89272,87540,96132,93586,99830,92375,97887,94130,99158,98218,98735
80212,88624,83083,92281,86766,82266,83148,94945,86748,88136,80467,87759
90632,95953,83357,97658,87717,93696,87836,84426,83530,87671,99001,82719
83221,97419,90664,89114,97915,92199,80365,93698,84356,98410,87592,80396
94815,93701,94450,89013,92513,81270,92748,83013,95795,90030,90917,87964
95418,80704,95104,92940,93987,99114,99648,85583,93910,93071,85757,87799
89672,85518,95271,83498,87340,95012,98622,96747,80201,98419,90788,98894
95582,81360,92097,96500,97315,82958,83154,94715,99630,87224,92683,81536
80245,82784,83741,82434,90287,97934,81692,94010,85289,80879,95764,95920
85890,83771,95408,97102,83243,98103,82582,96106,93495,91452,81680,83233
82186,96736,93558,81651,88268,81522,95247,82802,82597,81938,90206,94064
92050,89198,83728,94850,92226,88002,96382,88343,93540,94713,80009,83929
84005,86687,83953,99693,96280,99762,88540,97276,88659,94762,81026,81609
93506,87563,93523,90370,83001,90564,98792,84320,83630,82026,84933,98220
84670,86509,91585,83686,89641,91484,91010,84806,95816,93702,99738,99378
90317,87296,95564,91072,96260,84608,82126,99932,88977,83118,93899,89343
81092,80648,92733,82512,91488,94396,93357,90040,82234,85943,98397,91802
99553,91849,88582,94050,99394,89416,84710,97533,94229,82031,81023,85651
82323,95541,93165,86217,87762,84997,88360,87637,87576,92958,83976,95558
91395,97405,95873,94061,87412,94303,89812,86074,97228,90911,82032,96729
86131,96657,90416,89173,90089,98550,84014,92922,81357,87261,89820,93036
90850,83897,82185,92331,89940,87920,99988,88941,86581,90810,98973,80047
85161,99749,81982,92727,82159,80060,82123,95545,81391,88780,92521,92372
92349,83760,91712,91299,96874,88705,86073,88340,93863,90995,82322,89198
96738,84426,84644,93201,93901,81614,92540,83775,96506,84714,89647,82821
98108,89013,84381,82789,97760,87050,89607,93236,97119,94647,91627,82291
86424,83761,87761,85157,97591,91285,91895,89392,84556,81168,94376,85092
98082,91679,82375,81528,94422,90955,81367,89849,86702,91009,96134,97954
95649,86740,80350,88962,90173,86682,95300,86041,97336,94641,93761,83022
94267,95122,87148,90686,96645,82959,97749,91162,87877,84526,87564,92749
95655,99599,86511,86557,92581,85589,85974,88307,92798,95073,80558,99905
81003,91480,94686,99407,90809,99502,89885,83222,92093,86557,83938,81187
86493,87329,96673,83236,90660,80518,83517,88232,85890,80434,86837,88334
98416,85744,87414,99383,84870,97887,96207,91704,88785,87308,93177,80302
86185,87626,94020,97323,87492,80057,89522,91180,99997,96526,93672,91687
86609,87394,95693,99154,93482,89887,95665,97192,81016,93085,94515,96698
99991,81870,82604,84432,94477,90005,86004,88329,85140,83876,93161,94314
89870,93411,91705,84600,80741,82001,85160,85699,87264,97756,94780,95463
96588,96285,88378,91462,92622,98151,90727,83546,96348,92700,83174,92614
87673,84180,98203,86449,83707,99181,87764,96578,94519,98954,96582,90379
91902,98437,96037,83663,94977,89357,81051,97068,92736,91421,97707,95238
80265,93605,90399,96981,87111,89813,87618,99772,89711,85061,91206,87486
92843,88589,92693,84325,88719,94260,83375,93071,97610,91602,94764,85561
82317,92934,92204,84548,96942,96936,86970,83056,85590,94415,99502,85973
87240,94201,90051,93647,98619,83703,90331,85201,95899,82707,96144,94207
89264,84617,86483,80179,89827,95235,80891,90069,92524,93642,92457,85118
98143,93024,93981,80935,90370,90852,94032,95607,92080,87603,85315,94134
85429,94812,87277,96727,84073,84514,98816,80832,98413,93937,88254,94033
80033,82797,80357,95888,80792,99982,83946,81840,97789,80201,82732,82660
95851,88377,89132,86212,93108,88043,95664,94328,97284,85807,80963,92591
92613,83541,98292,97108,81809,93785,85660,85735,92806,83874,84429,82444
81302,98691,83799,93914,96892,80617,82457,95704,80107,89525,86870,82298
94414,85933,82084,85057,95365,97317,92197,83385,99065,82489,93259,85775
89423,86300,90447,99365,80257,87062,91442,97615,92340,99515,92161,89385
82793,81609,90071,81641,86779,85727,88742,93993,89140,89308,94710,85773
83918,91405,89318,90368,89398,99467,96726,93727,87033,98273,96358,82863
84226,97592,89153,97846,85245,82838,84689,98922,87553,90238,83609,86622
91437,86933,80977,94412,85233,98982,80029,94532,90587,94979,84469,81452
82274,80838,90626,84358,94014,85358,85833,82938,82174,96732,91346,91881
94239,95417,93602,80417,93415,97246,99491,90518,82775,80761,96425,80024
94062,94943,89059,91886,96461,88552,93302,86594,89488,98152,94438,94189
95176,92958,95389,97081,92062,87506,85993,82128,86459,94383,97830,82278
81010,99562,86583,83641,86530,95392,80113,92546,81588,90691,85675,87517
95924,88884,81022,89340,84214,95571,98840,81406,98777,89596,84700,89040
92041,80645,82177,88012,95080,87087,96725,99326,88313,97985,95142,81483
87121,97416,97527,84599,92866,92327,86110,80517,93117,95367,87937,80356
92085,98758,89015,94979,80536,87688,97669,99152,84694,97264,88131,93492
98695,84647,98744,95002,93037,80235,91426,80663,83877,83648,90901,84280
82364,93601,95811,98424,94547,80687,99701,94387,82936,80709,95169,90712
88210,92724,81469,80296,82417,89544,98443,99888,83492,81911,95827,89875
93249,94950,98107,95054,94858,97548,96206,87351,99921,80789,90884,87493
80656,84608,93135,84321,89343,87251,84235,84254,89021,87403,94346,82552
95875,85973,86887,84295,91715,91130,86969,98957,85545,92828,88239,97911
85683,92260,98076,82415,89500,90844,80997,80436,97913,90961,84116,91461
93167,97046,87344,92881,84861,86347,88229,94813,94304,92805,90012,93498
96105,80582,91145,89066,92208,90235,81559,82127,98864,98300,99059,81445
90172,97264,82567,82590,88583,88754,97620,80529,87415,96514,93740,85534
85057,81570,98981,92407,93217,91642,95068,99363,93545,95798,84540,95132
96469,86513,83770,86594,88100,86129,91891,83015,89336,98863,96599,82515
98453,92728,93192,91048,99720,82141,96680,89772,90550,88002,88698,96189
96833,85950,99539,85694,82725,99385,85405,80407,81947,94533,89647,99690
94873,89693,89732,85670,85242,88958,89552,86544,96017,84845,89133,95438
91380,83291,95356,86149,81638,90116,99845,98096,93918,88230,95985,85120
92698,91794,99531,81364,80418,83476,88750,94109,81991,97112,88421,97901
89970,81593,98814,99497,86820,91358,80484,90185,80638,84571,83633,97268
95137,86198,81389,97439,99499,95298,91777,90303,88352,95733,90166,89149
83129,81310,94412,93129,90060,93267,81242,96634,81306,88932,90003,95306
89919,84363,98812,93510,96370,81929,98880,99634,85063,81152,85250,84286
27145,17599,10246,13908,10037,29780,28251,12960,26335,26257,20679,28914
10657,25878,14412,17328,26765,27429,18645,29898,17704,15444,11898,23284
16861,24780,29633,22738,11212,10771,26695,10615,23807,27760,29177,18044
13228,16942,28630,10432,23446,10917,27945,17517,22265,16697,15745,29251
27395,13162,13188,12865,23722,15682,27483,16002,29780,24827,11152,13757
24898,20980,13884,23824,25978,20286,19507,28097,17179,29164,12054,29163
20545,19505,25546,13744,12148,25840,22208,11051,22024,26488,19739,25240
16062,18341,23942,16111,17177,15381,20598,25979,29313,20751,14947,17881
11610,14924,21658,14331,11326,18298,12202,14198,12812,16341,17868,21815
23262,11065,14636,17206,27638,16542,19027,26584,10049,19481,11800,17753
10721,21782,21583,25147,18872,20241,17982,19444,21952,19746,25194,16265
14666,24819,10294,15257,29672,26637,20705,17398,27702,16930,28770,24837
27927,13040,23045,15847,16648,23076,16465,23092,15430,13445,26080,26111
16321,13070,29071,13616,29177,18084,17567,29202,17242,19334,17062,28019
22247,22932,18295,27405,19968,23393,16855,20385,14850,29442,23022,23364
17815,24595,26306,18426,23137,28335,11179,13259,22990,16148,16285,16088
10209,13266,14804,22225,21991,16977,23637,10528,29169,12461,10423,11041
25322,23340,17165,25885,18857,27544,26634,29678,16017,26351,23011,11556
23313,11470,15143,25299,29519,15835,19397,20849,26885,14566,13696,22500
22233,23229,21995,24975,19654,14879,26407,28013,26376,21699,14987,25973
18893,13592,23515,22399,28095,29978,29549,13991,27927,12296,21744,10255
27882,13674,21573,19545,23490,21662,26498,22872,19237,14732,14958,21658
10742,24318,24658,27007,18531,27756,10696,16985,12167,26136,11017,13055
28948,16973,22827,19684,27969,26903,20571,20023,21274,23038,11913,23664
12606,10292,15860,25778,15208,25157,18652,26384,15291,16698,25366,20362
15259,25308,13242,18153,14084,26990,21878,21952,13664,15907,24661,24653
25793,12329,28000,14584,26626,29704,20484,22643,16724,18811,22777,11350
16226,21541,17725,12373,20063,12654,18397,14346,19495,15705,24130,13370
14562,11043,24624,28887,17624,25527,21252,21701,20025,17243,24033,17559
23415,24275,22954,13819,18638,28691,16493,20211,16989,26948,13684,11954
22000,27072,26854,17781,12107,27451,10280,25669,12949,23477,21128,14816
22642,25783,29197,23909,25469,27822,15328,10221,11792,13395,15461,28906
24475,13009,12119,24318,12279,12262,13746,12900,13341,10731,12355,13188
23657,26057,25607,28693,24118,22092,23225,21317,23120,25082,17620,26959
25640,21038,14465,21604,19688,29951,24312,13247,29758,29544,17098,10840
21616,28382,12241,16103,10445,10600,17923,21705,12281,11656,28325,18799
22503,18585,19274,26269,22971,25059,24931,26133,18175,11698,20504,29914
17599,12241,13667,23734,12266,13687,22319,11695,16595,25246,27320,15994
24578,23904,12512,21214,24905,12325,29923,12098,19515,21451,11285,15323
21681,24225,14223,29770,10534,11073,27651,19719,18458,17724,22904,17717
11151,23651,13900,26691,19704,25348,17319,27895,12051,23537,26731,12272
14788,13377,17912,17612,29757,22359,15505,25412,10460,29370,29133,23033
29860,22028,10764,17347,28424,27130,29295,23170,13659,16458,21894,20223
15784,10493,22401,16250,29415,15528,13531,20825,27550,13313,10697,16494
21521,20594,24059,16838,12335,18242,14081,18872,19209,16094,24523,25157
25078,10500,13779,16202,12198,15437,16518,18364,13227,27116,18584,23017
27178,19237,10730,27058,20321,10639,12255,13795,23064,26226,22461,16399
10304,20700,29068,16412,14543,18643,12834,24523,20636,28373,24801,24597
22907,13750,23604,22514,25271,14266,20236,13720,28002,20141,17743,16713
20510,16171,15786,29312,12442,24985,14282,13948,13113,27721,23148,14830
16352,10652,20699,24701,25606,14817,14820,22081,18138,26817,27742,29780
27037,18931,10285,17259,17791,18434,19584,16339,11210,29353,25105,27606
26337,20547,12445,23166,24101,27999,26970,21315,25629,18069,21154,29745
17933,29946,21847,16272,17965,21558,11788,29615,28504,15987,10876,10413
23751,20992,12466,26002,13309,26459,22476,12531,15196,28873,13999,11623
15152,14334,28879,22712,19527,21630,17142,23525,14429,25655,17064,20784
27750,12402,28481,10550,22171,24622,10439,15734,17742,23927,10039,25076
14019,26508,20169,24190,21095,24858,11861,22339,29796,25159,22171,11491
16444,20283,28222,15002,12775,12044,29011,12129,24776,14078,28814,13090
16315,14413,25527,14986,15173,14487,24386,27604,17085,19558,23256,14132
17188,26762,15267,12451,24030,13228,29760,13077,13320,18761,18349,27841
18864,12817,22479,27336,25312,12485,19731,16117,10697,18000,23101,18454
28046,22938,10871,19910,22097,11593,10455,22133,16639,11204,13965,20762
14577,16463,25001,25469,19732,26522,12679,25276,16171,23539,12745,22420
27405,25117,15054,13757,19061,18838,17598,10132,20674,17484,14329,18842
12271,21209,18231,12573,12413,27732,28039,21180,29123,19406,23447,20604
26448,21580,11096,12481,26716,27466,12624,12264,16739,22660,16341,23676
23696,10619,14828,15823,19400,25982,16666,12419,20641,21308,17951,10102
18258,21161,13201,11324,26338,25021,15246,25039,24483,11199,20461,16474
12113,19318,24857,25994,10166,11931,19269,11046,18374,21801,10414,22592
11256,16823,22441,27839,22600,11608,26622,18716,28311,15594,29891,21225
28892,28796,11267,17926,29567,21155,17990,22525,19503,16213,16324,13610
20638,17078,25768,18629,27313,23198,10927,13303,18800,18230,14952,18925
14606,28180,11319,17395,10575,23481,22988,28299,15397,20102,13139,23317
16859,28254,16328,10704,21224,11709,12963,17863,26083,23533,21445,23722
23323,20152,29312,15922,24909,22450,15226,13943,18127,12619,26673,17036
21851,29170,26604,24434,19029,21703,23058,19096,17691,25824,28197,20734
18090,25001,13028,25933,26763,28056,23584,10283,15133,19816,21103,14131
10957,25115,15042,14463,14241,23538,27069,24916,27001,25157,16780,10385
10699,23526,21763,11601,29575,17440,21777,27958,24806,16504,23006,15340
25714,11358,20810,23572,13805,15158,13858,21561,17078,21001,24873,10981
11535,14866,21462,20075,23759,14497,26833,28240,20145,11199,10773,28010
20904,19420,23983,22817,10483,17096,24793,29457,16865,29872,12574,16287
15573,26162,23624,22584,27302,22794,14060,13338,29178,10476,16715,23508
23469,15013,27775,12408,13832,18103,23803,24313,27140,29108,15020,25650
27928,29990,18223,28080,13315,18824,17734,24546,26570,13841,14173,12987
10373,15668,10322,23744,15490,29531,21129,12257,29284,21303,11560,27559
23524,14664,24825,11299,14030,29684,26182,17741,24297,23572,14530,29768
13304,19063,13321,14037,21169,29133,28760,25538,24854,27475,23692,15408
20349,25470,19373,25771,25356,15301,23059,17929,13033,23046,29763,26790
14623,28963,18047,10978,25207,25022,28387,21608,26041,29029,17111,19126
24757,11827,14492,14978,25036,23430,20110,29370,15684,21369,18577,28883
13292,18949,12344,22335,20398,24569,22463,20914,14673,26360,26155,24143
11668,11765,10518,28144,23966,29322,25315,17372,25498,11379,13711,18820
11091,25446,13343,23623,25155,12518,12352,14705,18408,10454,23642,17483
20574,27353,29329,19173,17128,13127,22521,19391,16438,28194,10635,21563
20192,18772,11726,11075,18086,13594,29318,10265,23371,11953,14941,16559
29743,16047,11436,18707,25562,28938,29459,19238,26140,11183,16086,10372
27922,15266,14187,17846,26824,22744,26817,23243,22616,24469,19810,10941
24753,17935,16546,16591,15704,29272,19021,29604,23261,29242,26794,23071
