UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
86078,87858,95292,96507,85267,96411,96958,94726,88600,87156,90464,93287
96260,84274,93846,91769,84555,85486,99343,92578,91026,80470,90306,88768
86934,95206,87438,84669,95845,98291,89277,85572,88215,94448,83216,99420
82926,88960,86355,81938,82243,80154,91643,96162,80686,98615,82820,88908
84297,89851,94491,87500,93589,84886,85981,99694,92110,93906,94454,91402
96318,97174,87490,91619,89662,86157,94554,96303,86626,89931,81912,95536
98484,95182,83428,91445,80483,91745,91405,91100,80356,85088,86143,95818
83110,95580,90116,99042,96342,97001,85774,98685,97987,94053,80623,96034
91950,83725,80884,85740,91842,94041,95521,96842,95499,99738,95756,82205
92520,81682,97345,90196,82798,99835,94174,87602,91536,84427,87401,84425
93639,84958,80964,98372,93492,80187,95733,80879,94218,90488,95733,81644
84791,85076,89954,80594,80326,98924,85067,94844,80470,85834,95187,81765
99587,96589,80242,86262,80461,81100,82550,82913,91267,84198,88015,93088
86563,82719,97100,89273,90394,98164,90159,80318,83288,84269,84639,98364
88922,96584,96636,80959,83784,88136,93236,99532,91342,93882,89296,86159
88021,86729,89726,81553,95142,94889,85764,87109,97142,98927,80700,86252
82677,89808,88877,95876,99251,82427,89280,86379,92604,86930,88788,91263
99262,85957,92085,88818,85298,84578,80433,81085,97758,90909,81275,88045
80572,84007,89383,89229,99887,92079,80509,88860,83717,86511,95302,92012
93534,87674,86129,81342,94036,85596,93246,85345,96740,80549,91633,96865
82946,86492,80358,80633,93661,91903,96374,99817,84718,83081,89046,95239
86675,87877,87183,81332,92803,88735,80485,82972,98744,85835,85902,97110
97060,96105,98999,93692,97599,85548,84080,90406,83997,95677,91839,81177
87822,90365,83142,96357,94277,82324,83498,91143,91855,90372,95419,85284
93534,83460,98659,85920,84988,94182,97087,92020,82096,85537,99556,81191
86220,97960,80762,98183,85710,82953,93011,93619,89631,91307,80950,99085
94019,94358,98178,92412,83303,84762,89720,92873,95444,97560,97004,82029
91708,99085,98480,90433,97709,82827,89994,95396,95533,95509,80899,83070
81085,87847,95576,89202,96479,95486,95700,93409,88214,90520,96079,92017
90161,85475,93408,96090,89146,92235,86663,89304,97893,87286,96392,90556
90687,87179,96405,80387,94246,93094,81557,88310,96342,97040,90272,89909
86043,80453,85275,98700,90336,96870,94764,99367,94509,85161,91761,86645
93385,95797,89157,91688,87722,81014,87082,96929,94954,94904,87861,94752
82967,84244,85312,93035,81875,88274,89774,96559,99512,88825,85019,85993
97132,81088,94948,89816,90428,86692,80726,89746,90844,88583,84569,94469
85395,85245,87545,98563,95862,88073,96101,89750,80439,87899,85747,82721
84118,83257,92478,87893,97966,87256,81517,95952,98025,83978,94684,87129
97447,97170,87064,83821,94168,90033,80557,84039,99170,80158,98777,82970
93927,82337,87511,99287,88574,92378,93940,90768,86302,85153,92544,82679
87145,80118,85208,80559,83339,96431,87308,91658,88752,95646,96142,98679
94616,94550,90168,90142,98629,80780,84316,91582,81261,82514,90892,93729
96790,84009,99856,90006,95965,89905,94934,86137,93377,93095,85891,86538
89335,96812,87683,98859,81443,81790,92023,84202,80179,99373,93381,84347
87667,99158,86366,89799,82120,98089,84941,94791,98849,81200,97064,97582
90573,96616,83350,81213,82712,84059,88072,94735,87750,97646,81254,86497
89837,88299,96739,91253,97711,86638,88849,88202,91983,96378,91943,86598
96689,85267,98284,92126,87754,92833,93500,96076,93122,81897,91682,89938
94679,89366,93094,81481,88983,90750,96765,94935,81519,87509,87560,96199
92873,95106,83752,81141,82448,88908,97537,87135,86670,81326,90890,94699
84710,86394,83761,82051,98406,99849,86627,95168,83016,89099,90081,81551
93135,83007,98911,81257,85495,80347,85017,95228,83966,88285,83760,95595
86516,98140,83792,86186,95886,93264,92391,80621,97930,86540,82205,86917
89890,84957,88124,89247,92658,89488,98545,91066,97562,88663,87996,91419
94047,83902,99973,87285,85600,89405,89820,86744,91641,90001,83619,81992
99668,84604,83985,99556,83471,81107,82242,88518,87122,89901,87584,92668
83005,83787,83194,87479,92546,89778,85633,86591,89889,95331,80921,97022
96335,90172,97351,82294,94347,98170,91735,99653,95038,85280,84719,96654
81675,85165,90047,90019,94086,89244,88284,95757,80401,90125,94138,83506
99663,95572,98008,83721,89169,86934,85576,89909,96717,86793,80082,83064
89982,96830,91282,90316,90566,90071,96511,88438,94238,94632,84942,96447
81959,98288,91729,99081,99053,87965,83384,90565,83683,94804,94099,80930
89844,82575,98660,96790,83922,93042,86106,80460,82317,91128,87584,82705
95897,95774,88891,83383,82587,84709,90367,96165,92175,91232,80029,82198
84622,87143,90135,81111,80521,94350,94830,85483,83787,85979,96660,90708
95896,84587,90143,89666,99591,92820,98039,90276,90671,85594,95685,98726
80992,94425,81726,84062,94817,82354,98548,81712,90377,90678,93990,84938
96074,88038,84265,86502,83587,81631,84231,83179,88897,88860,86866,83263
85008,90323,95319,89760,86888,80652,80367,89934,92633,86225,86080,83792
83151,97503,82430,88408,86964,92202,84417,99376,94236,86866,95681,98171
82180,93753,91553,95039,86271,86561,86239,85010,85798,85943,82152,82393
93368,83565,89736,88469,83263,95693,82331,93160,93793,92317,81424,87465
84582,98124,98322,92702,89548,87339,87828,83007,87827,83347,80117,95426
85336,82732,81210,97258,87176,94672,94096,93500,93997,84144,92817,81932
98365,99723,99906,86512,81717,95929,99387,95294,83761,96899,90438,91083
95674,92600,97931,86227,94528,90674,98667,82513,89628,99825,99797,81780
97592,92633,81667,85319,99823,97969,97638,93700,91345,92210,82825,90461
96961,94520,92114,97272,92883,95331,96987,81797,95416,87991,95838,88562
87131,99887,93507,98182,94908,81944,93026,89262,82121,99433,86626,97091
87631,96622,82772,94424,99873,98771,85906,96763,98671,83003,98301,88497
88172,80621,91106,95872,90754,86525,88054,86122,92933,94878,96948,90793
95024,85642,82784,93928,88472,86542,85923,85681,98549,95232,92784,80634
89471,99821,99028,90773,98162,83001,90804,87525,87266,96972,98533,91121
81667,89820,85352,88779,82059,98274,86047,97606,81121,92632,89905,81425
83739,87532,86804,84197,80253,86957,96806,86278,91560,97734,93048,81221
99879,85172,83951,96058,84249,82298,82838,93302,85619,90963,82256,91397
88022,96878,88587,97614,88872,82872,85237,81091,93154,92327,88525,85270
94366,87482,89896,92210,86492,80940,88052,83700,88209,99551,85841,98441
98020,90633,87423,92176,98973,92814,97622,80327,94332,92456,95663,85764
92321,81748,93950,84093,82729,99037,84886,88986,84489,91045,94616,96790
96147,93436,96087,87665,85513,84636,94961,83712,84845,99368,93501,82280
81837,87604,84656,87579,83829,97423,96696,96475,95907,96716,96670,84632
87649,91975,94048,90057,93790,87789,96554,96700,98420,84309,90899,94394
84693,81797,87204,85788,91681,98406,97893,93874,92020,80617,95781,80142
85676,85975,82136,86271,93174,82977,81838,87778,94277,97151,86751,87803
