UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
63641,68847,69745,52759,57924,58179,53930,59178,62956,69555,60969,64022
64761,57671,40079,65212,69478,52885,53999,48031,40943,45774,69961,41916
48923,43126,41987,56596,45685,64838,63010,53661,62334,40007,40165,48908
54987,44959,48082,59630,42310,60958,55034,63707,56084,42321,45659,60695
56735,66140,41425,48468,46492,66446,45947,43263,57250,40007,69877,49771
62397,54691,43302,66090,68957,64339,46487,40632,57960,40986,40617,56352
48989,44976,64623,60425,45111,41450,58649,48589,51889,60717,49878,41718
51681,56547,58607,62349,45059,47202,41290,44944,46821,47838,53636,57762
42632,58417,50700,49745,60715,61854,62762,58551,67287,47173,55226,69654
42675,42899,56384,62376,61713,48680,46473,68646,62084,46925,44337,42656
50849,51414,45004,59108,65452,62401,64464,40098,63522,58341,45709,56306
42016,53495,56263,58050,69569,49752,67922,41196,54952,68887,42693,47716
52132,43934,50091,46675,68337,45438,41285,59262,59319,50735,56786,59754
58456,55504,41358,57833,51889,51215,45339,63097,53656,67622,51263,62659
43678,57387,54792,65544,42300,41690,62315,48290,53240,59116,42257,51583
59794,58833,60412,59342,55351,60027,66907,49287,55958,41431,51179,52924
49216,45019,44697,58579,67404,60610,66517,47379,59790,50696,64472,61874
64353,63835,64429,65935,63410,63766,52122,68088,47093,42816,45997,55541
41478,43794,67174,53444,54977,60689,69351,64192,43784,55143,56006,53376
54455,58310,61653,41568,45131,53234,67110,61453,47998,67570,49509,43577
59494,65755,55658,58991,45298,65392,48493,53081,51265,43727,45472,65956
53702,49556,62079,58616,43442,61645,68602,57737,46976,67193,43989,69050
56482,63396,55495,51282,48257,64970,56455,46641,51305,49659,47449,62980
50526,62493,65840,68511,44896,60716,52340,59428,67797,48031,62986,49236
68519,44500,43642,44803,41914,47070,48118,51731,62513,62598,49576,52895
41909,65462,48272,66411,54101,56057,64539,61051,58134,64248,64005,47423
66717,62668,69554,62309,64498,44679,68095,61548,45165,46263,64690,67369
49138,59323,59548,58750,48144,52267,47924,40423,68711,41739,61062,50446
63552,43550,42216,59326,59864,47047,56082,48826,51377,63533,43336,53097
46425,40429,67699,43658,62470,60597,63240,63934,55074,55353,51538,45899
64966,45059,69647,51299,57195,61115,52281,45303,57584,40540,62510,65115
67234,49474,57157,65875,45664,55794,69916,41825,43381,58291,58249,42252
66572,65384,68294,40653,51392,46412,63501,44810,56599,60334,56628,55480
46654,61452,65527,60833,63604,53491,42643,60885,66050,47132,66297,63814
57328,53238,42676,42812,49267,60998,67578,51928,48265,53929,64673,60446
52166,66433,54161,57961,54585,64248,41405,61233,59557,45334,61468,64366
52410,61356,58342,57439,47092,40507,56611,58391,46727,64156,68661,55545
48170,65502,68181,49102,55078,50241,43724,41971,62586,44955,66748,61505
56992,64149,62120,60098,45910,62876,43799,57811,50248,59617,46960,55486
63456,41814,56485,53602,44917,56896,63924,49958,54630,51879,65631,69821
51619,58070,43360,40780,52992,42312,63751,41688,57514,54550,40690,49425
56792,47073,48431,51157,61997,61008,50800,46857,40738,45548,58300,61772
50980,42864,46145,51422,67116,60084,58387,44989,53374,62152,49396,60380
45473,69582,61603,42077,40483,63809,58955,43548,52609,49609,44068,44668
43329,52883,42658,50185,48796,63575,65899,45501,57927,65950,40142,54198
66053,62671,66906,59821,40237,46395,48191,42439,49788,42311,41028,45078
51154,43273,55888,54200,64275,68496,69119,46804,50508,56628,66514,45698
50799,52007,42769,43151,63008,54362,58383,48365,51643,41281,44324,56243
67953,53673,57679,47664,40899,52969,46532,57486,56167,41503,49955,60608
45765,52984,54582,55944,40486,51926,44279,65233,66137,45650,60830,40839
68957,43865,64226,52803,42054,63562,42590,46662,65508,46004,62229,47780
43054,52907,62410,62059,64742,46196,58980,44987,54625,56777,49425,43857
68035,56027,45440,55628,56560,47388,51792,41843,62826,47043,52529,40742
62568,40704,59440,59129,52151,68737,61773,58313,54979,52341,68430,49362
68658,57097,69691,49452,65017,59801,57161,66065,48898,54048,53725,51180
51182,49572,53991,68824,54035,53592,49931,49264,49745,64995,54328,63267
45977,46965,40126,51920,51283,50259,49657,53609,59306,41147,65070,65478
67822,41380,49084,55061,55177,64802,61917,67135,58115,54386,66805,53619
55027,59528,60411,68064,69509,56568,67155,47154,40263,42719,67964,69478
54888,44873,50782,47656,42077,57008,63323,68946,51358,49384,65554,64792
64380,48475,62460,54714,49517,55770,53752,52446,47146,44333,56256,45960
55820,56742,69883,51828,59734,44594,49672,55189,52555,48115,48040,65556
57644,63157,63774,69658,49237,61755,61725,68128,69457,44680,65787,50442
49773,51888,45626,67877,47768,40912,44992,60407,65991,52535,61795,65080
63012,57582,54116,61924,40199,44233,42039,55422,45162,63420,59774,66534
58253,40582,40783,59954,43513,65032,49593,44240,58896,48059,61334,66917
64503,56624,50367,40817,40651,49041,68129,65514,62344,68050,67469,52676
53613,63935,68848,59722,62040,49596,68722,41107,57837,40842,50581,51131
60943,57416,60012,65433,40164,46856,42381,46807,54154,40757,40862,51647
41730,41226,66493,51311,42970,69386,62937,64716,55768,42741,55731,54921
51300,65409,69335,55732,56603,67236,47021,58303,48660,49666,69644,49348
59297,57406,41340,41674,54390,43928,66817,41465,64621,59652,69247,48892
52370,59763,40443,54443,63230,53333,67364,52852,69624,47944,44506,59169
60558,57643,57526,42162,51213,68082,66377,51008,65988,69332,69143,66270
62680,47294,42777,44246,66216,63557,57776,61893,50910,47560,68876,56267
48422,47631,52607,58058,57485,53544,64137,40340,53180,68221,67432,54814
43146,40812,63118,47262,43092,68173,43093,48171,53693,59296,47460,51761
44225,43622,44110,56596,49027,69278,49506,61068,40721,66011,62544,57467
50135,41370,47068,41349,59562,59627,61791,50285,58149,44490,44196,47508
45892,64221,53002,46333,62429,68606,41654,59123,53760,53539,68504,55050
56891,55513,66227,69855,65855,68536,56577,68449,55420,67504,46321,63072
57017,55604,57192,54751,58534,54468,68985,51758,40069,62469,46928,65487
60321,52516,61227,45745,52235,68639,65900,50961,66208,48040,49958,57876
64170,40182,53400,61515,50001,64502,62365,41449,62888,59512,51882,53403
62139,54259,55693,69910,47487,58559,51618,50610,51508,59297,48474,52042
48263,49110,62610,68528,61881,54174,68597,67631,61345,43298,40512,52253
48617,53322,66028,68374,45065,41742,63230,51504,62548,57698,63232,52174
45263,47625,51390,59316,56303,47575,66386,66342,64742,45853,44580,51914
43116,51790,48468,62159,55621,44795,44530,55045,51701,59195,65578,65616
42357,51305,69568,58789,41514,42214,56578,51865,41770,67982,50654,64396
60698,43181,42347,50241,65729,50193,41436,50893,40500,68221,47629,64821
62634,50705,62712,69688,47674,42315,55422,66388,48340,45918,48491,48718
64912,40838,69117,68253,62518,42440,62071,62853,41874,47115,43895,59678
47976,60393,68344,57222,45557,47696,66828,40901,45762,60065,68467,49669
45538,64696,55412,41611,63331,48984,50285,49942,50557,43820,58636,69271
54475,67978,45777,67296,59474,61858,42429,62954,54083,44714,65645,45525
67633,68937,61135,61295,43070,47283,43602,53588,61381,52189,46358,44340
58769,48320,49525,45143,46898,41405,54326,67929,42998,57471,44751,67947
55670,62537,61058,59927,59558,68237,60738,40804,65756,67359,46571,64754
58650,41016,63491,41316,50760,66875,59238,40971,55169,40520,47955,61868
62129,44555,51688,48809,54726,47849,57973,66461,58164,56481,62056,57769
66540,66919,53193,41118,43267,52280,58303,54115,66526,40951,63843,42341
47249,48940,46923,59930,49349,62032,53997,62604,68958,65645,46734,60556
60096,62009,50647,60991,55765,46053,51500,63533,45601,57048,55620,53052
56463,62990,57328,50880,66781,58973,59748,44503,51421,45877,44981,49820
50488,40815,57381,68408,40869,67971,56972,67490,53136,68717,50322,55946
44830,46046,62424,66819,64123,62982,48466,64378,63468,58246,68030,42384
49401,61311,52821,56148,50416,49108,46331,49300,41369,52214,59086,65696
69704,59319,61515,49999,47549,40223,51721,67299,59114,41632,47407,57235
42692,48587,49663,54465,47472,67256,60336,56852,59475,50361,63670,65253
61229,52929,46217,63926,50585,49121,44298,44272,45225,46898,68144,66815
51013,47045,64982,69919,59001,68272,67126,40710,66966,55879,67646,65784
