UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
9565,9460,9389,9929,9578,9646,9424,9610,9641,9511,9435,9302
9840,9682,9322,9139,9567,9890,9774,9052,9187,9163,9032,9401
9695,9731,9068,9923,9645,9289,9047,9268,9117,9329,9191,9348
9761,9591,9948,9428,9174,9189,9027,9894,9224,9338,9620,9190
9395,9650,9075,9214,9145,9894,9765,9384,9549,9867,9197,9697
9460,9622,9048,9579,9074,9910,9031,9008,9853,9631,9272,9237
9098,9761,9180,9331,9131,9602,9653,9309,9945,9975,9284,9094
9627,9629,9072,9378,9043,9874,9629,9447,9937,9180,9081,9063
9149,9643,9892,9441,9369,9844,9498,9680,9219,9015,9434,9528
9032,9433,9959,9482,9426,9972,9010,9771,9406,9733,9931,9597
9187,9951,9297,9775,9306,9641,9234,9739,9768,9175,9846,9614
9623,9965,9801,9879,9167,9466,9405,9745,9600,9280,9804,9546
9258,9349,9357,9085,9176,9701,9750,9459,9142,9015,9456,9513
9177,9600,9454,9119,9002,9240,9996,9774,9755,9391,9128,9996
9526,9808,9233,9280,9557,9932,9248,9395,9782,9026,9960,9342
9998,9551,9998,9242,9088,9864,9871,9009,9657,9435,9909,9324
9311,9510,9537,9174,9035,9018,9398,9121,9493,9839,9730,9287
9015,9064,9697,9009,9255,9794,9431,9922,9991,9708,9460,9577
9978,9303,9582,9702,9444,9948,9234,9219,9502,9372,9275,9948
9105,9191,9904,9046,9913,9557,9703,9201,9593,9179,9422,9268
9835,9598,9212,9109,9760,9621,9338,9398,9850,9344,9566,9978
9409,9693,9566,9230,9987,9006,9948,9480,9747,9588,9650,9076
9906,9086,9424,9080,9891,9597,9142,9406,9469,9888,9382,9665
9545,9363,9708,9155,9522,9341,9314,9826,9330,9489,9775,9239
9490,9839,9522,9845,9290,9434,9775,9387,9959,9218,9962,9386
9325,9242,9495,9373,9261,9393,9267,9910,9306,9655,9754,9233
9567,9028,9470,9541,9706,9461,9790,9439,9347,9523,9215,9310
9811,9080,9578,9839,9049,9289,9023,9329,9897,9278,9848,9142
9558,9200,9668,9383,9838,9332,9522,9531,9491,9031,9217,9608
9345,9249,9994,9591,9283,9945,9313,9487,9012,9434,9321,9024
9273,9137,9961,9073,9626,9503,9455,9621,9311,9492,9452,9962
9316,9596,9883,9907,9491,9257,9214,9057,9697,9349,9010,9391
9610,9807,9242,9167,9710,9861,9875,9965,9186,9758,9858,9451
9588,9918,9232,9197,9376,9582,9690,9082,9079,9268,9786,9991
9469,9984,9172,9288,9343,9484,9067,9454,9727,9509,9213,9136
9242,9408,9703,9581,9738,9363,9065,9510,9849,9900,9753,9758
9063,9346,9295,9949,9873,9943,9400,9740,9903,9170,9405,9889
9375,9382,9636,9008,9520,9877,9496,9391,9899,9396,9978,9221
9738,9743,9636,9220,9346,9966,9291,9391,9587,9720,9637,9541
9379,9766,9723,9349,9450,9076,9483,9040,9932,9200,9051,9733
9895,9358,9683,9516,9336,9509,9669,9704,9744,9475,9498,9833
9608,9739,9918,9397,9358,9814,9190,9042,9759,9620,9389,9088
9630,9691,9979,9793,9096,9105,9665,9030,9282,9694,9885,9597
9052,9784,9003,9994,9789,9257,9781,9486,9277,9372,9588,9918
9897,9378,9398,9039,9768,9557,9199,9588,9087,9736,9133,9103
9264,9815,9667,9963,9482,9384,9502,9932,9827,9525,9390,9471
9428,9433,9264,9355,9433,9485,9974,9761,9229,9468,9514,9030
9047,9025,9451,9177,9437,9244,9544,9894,9972,9712,9312,9509
9345,9334,9423,9816,9438,9767,9085,9812,9492,9945,9111,9416
9984,9677,9633,9630,9614,9405,9066,9496,9981,9471,9343,9031
9558,9365,9115,9368,9265,9115,9512,9689,9865,9088,9622,9273
9409,9213,9780,9969,9484,9058,9145,9005,9883,9056,9046,9361
9868,9943,9271,9635,9305,9443,9598,9288,9709,9476,9968,9500
9832,9365,9067,9745,9682,9021,9954,9624,9289,9248,9470,9755
9072,9704,9779,9901,9765,9234,9333,9397,9362,9214,9256,9552
9757,9973,9053,9630,9747,9279,9284,9988,9259,9823,9636,9478
9231,9105,9815,9241,9027,9829,9403,9871,9973,9720,9206,9797
9666,9810,9469,9673,9513,9201,9090,9108,9280,9221,9918,9698
9211,9061,9957,9700,9010,9906,9275,9785,9179,9288,9238,9872
9627,9919,9705,9605,9368,9068,9655,9995,9656,9850,9263,9488
9835,9734,9211,9047,9050,9738,9415,9228,9855,9334,9406,9576
9329,9899,9465,9837,9929,9395,9236,9168,9915,9631,9425,9848
9405,9509,9467,9439,9504,9751,9271,9195,9124,9200,9697,9771
9219,9618,9867,9286,9179,9104,9662,9267,9979,9388,9462,9562
9128,9642,9935,9955,9701,9033,9679,9451,9755,9870,9803,9356
9868,9837,9376,9868,9769,9231,9548,9305,9605,9273,9686,9382
9569,9260,9241,9265,9319,9984,9258,9603,9085,9010,9046,9317
9209,9581,9580,9453,9256,9138,9546,9960,9359,9023,9004,9717
9676,9373,9987,9474,9437,9458,9628,9023,9664,9091,9844,9536
9967,9421,9613,9010,9765,9275,9968,9268,9029,9574,9706,9357
9152,9339,9059,9718,9553,9756,9566,9903,9886,9233,9489,9538
