UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
11830,11431,15027,18802,14075,13037,17759,11358,16237,19907,12005,12517
18497,17315,13401,12822,14288,14944,18329,13569,12371,10280,13003,17818
18492,12983,16525,14419,10802,13212,15506,14125,12231,17060,12689,19548
13213,11782,17367,11262,14847,14337,11436,16672,16917,12514,15563,18211
10356,13611,10797,11293,11313,10062,10406,13542,17920,19232,19814,15363
14481,16602,13360,18035,19475,13560,10893,17621,11154,10835,16235,11283
15796,13404,19898,12998,13300,14935,12325,19523,16966,14264,10459,17674
15939,13021,12903,10025,13339,13432,13933,15861,10643,13212,16280,10276
18627,15485,14338,18610,14423,15711,13987,19025,13865,17318,10711,16911
16483,14300,18156,11311,18104,19238,12439,16061,18951,14813,18867,10772
15427,10752,19417,17654,14866,10321,14371,15574,10020,15904,16335,13582
18959,17257,18678,12191,14978,12079,16415,11521,19637,10827,18437,13786
12720,11145,17801,19078,15483,14823,16192,19016,19756,16824,14911,13962
17186,12385,18461,13377,13962,17192,19870,19170,14218,10042,16212,13777
15117,10578,14866,14020,10758,12559,10153,15596,12464,19619,17317,11080
14333,18316,19263,15410,17224,15184,12437,19662,14990,19897,19086,17442
12897,18177,18475,11620,12831,19155,15912,13790,15394,13594,17674,12552
15823,12875,16216,14064,10823,14107,15722,19262,18316,17785,13204,17546
15449,16915,12974,12380,18174,13516,12772,11626,18606,19678,11255,18325
13477,16307,12802,12439,11582,17149,13372,14082,19481,19824,19831,15404
11423,10560,16197,15561,10271,12803,11774,12723,18007,16770,13822,16172
10890,16647,11749,14670,11038,11482,19548,17107,10843,16507,10468,16767
14181,19214,19362,11905,11495,17919,12712,18507,10170,12281,12732,10113
14202,12318,11114,13357,13915,15978,12729,15355,18506,11790,11505,19336
17404,13112,12202,14481,15457,18180,11218,13691,11653,11284,11712,17193
15843,16418,12697,10522,19202,14907,16020,16104,10022,11851,15430,15936
12532,13051,12288,13782,16397,11003,13116,16045,10334,12193,16708,11402
15285,16051,15234,17283,18475,19393,15858,10663,19512,15617,18841,11085
17123,16631,18503,10137,16110,10296,12776,18597,19633,17617,16070,15812
15320,12327,12311,15651,11335,10309,12860,13167,19620,14016,16951,14693
11710,10527,17910,10407,12340,18854,15301,19403,18503,14268,17745,14987
15389,16291,16646,10541,18875,12371,14382,19622,14549,11984,13847,18478
16819,18475,12021,14408,16070,18917,13922,12618,10414,19909,19960,11587
14474,18494,17132,12369,12587,13024,10153,15577,10785,13769,12437,10208
12860,19602,19996,10505,13556,13174,13486,12169,10207,16990,14733,11929
15058,17026,19362,16203,10168,15846,10662,14516,15284,16274,15487,10469
15762,15838,13706,11878,18179,12843,13986,16179,13722,18847,19917,18704
16674,16695,18694,11320,17321,13024,19026,14097,13027,17365,10931,18633
16513,14853,18673,13621,15315,16307,14919,19173,10166,13766,11973,14443
15239,17303,16162,16632,19752,18569,18051,10811,10260,10208,12157,16134
17676,19883,12371,15338,13341,17372,14910,10103,17566,19170,14182,18253
12665,19422,17897,15862,11068,15636,16465,14852,16471,13908,13542,14654
15499,16471,17669,15022,14413,13680,17020,12762,10851,11392,11530,11637
16551,11014,12630,18752,15725,18623,11239,18595,17258,17716,13323,18416
11807,18060,14600,16650,12418,15996,17159,18683,13682,14190,13055,14466
10101,12139,18355,12260,13440,14663,15352,12885,19352,13195,19355,10665
12426,14385,13687,19928,17545,19569,18655,18590,13137,10543,14286,12250
15878,15149,10319,15937,16765,10716,16251,17527,14073,10760,10593,11971
16885,17380,15322,11533,12563,11951,12635,17960,13169,12130,15513,13258
16100,15771,10511,12793,15423,15374,19586,18016,13698,13283,11884,15935
13281,12343,17833,15754,14227,14809,18627,17160,16220,15133,12041,11713
10291,11123,17004,14228,18206,12581,13980,18521,18437,18373,18662,13069
12179,11740,12267,19996,18793,15806,15669,11170,19882,15822,10588,19029
14876,19453,11834,14158,12742,19060,12533,12320,11803,13272,18943,18483
18982,13149,12816,13691,11834,12695,15525,11796,10619,13197,14462,19059
17938,16465,18822,16507,17467,19346,13446,16638,11028,19356,11604,10782
14875,17784,17238,19789,11159,19175,13902,12903,15897,13434,18354,12162
11761,18617,17740,14301,11775,16762,16662,16619,17097,18634,14175,11679
14180,11019,15111,18842,10519,17863,12034,15478,13837,14123,10853,14635
19229,14155,10261,16842,10643,16732,19389,16250,19463,16178,15936,11580
18287,13389,17022,18684,12065,16324,11299,16156,13039,10796,18568,11579
15961,15428,11711,14713,10658,16718,10179,11945,18761,10679,12052,17734
11842,17917,11935,17269,16859,10964,13738,10251,12189,17920,18597,19467
13588,14188,13287,16303,11428,17451,11131,13686,13240,10357,19980,19375
18454,17487,15557,19063,19796,11886,17948,12254,18527,11024,14884,19647
17869,17704,17615,11788,10617,13479,15170,11033,16129,13996,15337,15223
14790,15856,15722,13823,16738,19594,13300,10278,18904,13178,14859,15971
14453,14164,19499,14809,15041,18769,18568,15027,14065,17790,11187,13315
16825,15928,15512,12387,11800,16370,12358,19619,11125,11954,15823,14986
17030,18416,10166,19127,10710,10480,15939,12919,17014,15271,10173,10126
13965,11370,10700,12822,11021,15033,18429,18730,12840,14140,13965,14718
11909,15235,16964,17034,15011,12606,16216,17582,15336,14254,18915,17374
14322,13199,15631,14654,17940,17843,16566,10350,13040,16861,15746,12927
14869,10549,19216,17294,12596,15806,14019,13967,19386,16999,18802,18088
19629,17161,14972,17105,19225,14340,13532,19941,18128,18275,11447,13446
11547,10235,12355,11839,11185,15056,13302,19072,16350,15706,13260,19427
15692,16605,17727,12279,11583,16128,13486,13248,18003,19252,11424,12435
16887,12112,17693,11505,16045,15027,10421,18262,12109,15858,13343,18502
11673,13919,10701,16262,10455,13322,16060,12171,16435,16696,11230,13867
19243,15861,13051,11929,14100,10320,10062,17324,10733,19837,19034,12090
10197,14017,17028,16948,18228,19437,10153,16311,16489,16337,17892,13944
13476,16313,16285,10331,12256,11031,10083,11521,10916,12330,11347,12221
12126,17411,12905,18943,16155,18470,14041,12453,14557,12307,17769,11559
16037,12136,11287,18495,10120,10654,13866,14384,18926,11065,11526,19279
12621,16332,16584,17776,17248,14487,18201,17568,16781,14834,18962,16681
15153,18509,12988,13133,16965,19019,10194,11467,15580,18056,11010,18086
10469,19452,12683,13842,14489,14464,15239,18698,16794,14000,11014,18587
10744,16332,10894,19656,17102,10400,16249,15410,13684,13336,10014,12079
12329,13933,15259,12084,12840,10401,13390,16432,12229,18004,11562,19217
10282,12170,12068,15415,14574,11486,15316,13628,16607,15652,11379,14691
19616,14699,16749,18866,10812,14572,12202,18095,13804,14258,16353,11399
10932,19714,15622,12348,11428,14000,11416,16023,11590,13818,11969,11914
10308,12690,18837,18535,11286,14279,11776,12884,12489,14109,17921,15039
15540,13831,17749,14382,15701,10084,11329,15684,18130,15415,19844,10417
14257,17501,19389,15414,14853,12183,18401,17876,19880,16232,11726,10759
14243,14955,12437,15449,13629,18625,17692,15571,13100,11634,13297,17637
17824,18165,13091,10310,18489,12906,10976,13785,16873,18998,10545,17431
14512,15461,15441,15394,11315,12796,18244,13790,17202,17741,13147,11021
13574,11788,13001,16137,18552,18057,12169,16430,16620,18505,14608,12762
10403,13152,18227,18342,19477,13817,15378,15900,13582,11518,16538,17921
16470,10632,15610,18082,12396,13652,10595,16983,17511,14676,12817,16452
10299,16360,18478,13404,17103,19885,14938,12079,19368,16626,12196,10773
13227,10941,13508,19240,15851,14047,17016,14532,18003,12543,17726,19000
17201,17093,16510,11382,17953,11212,14890,13863,13715,15575,14199,11910
16198,17435,16982,16361,14143,12466,15221,17479,11165,11124,12022,17839
17858,15685,14908,13579,15704,17130,18282,11320,15369,13434,14822,17673
15372,15513,16515,11307,14296,12818,10452,10126,10941,15906,11258,16560
16190,11531,15568,16635,17955,18583,15258,17530,10060,19238,19646,13187
19621,14197,10334,12877,17457,18450,16395,18087,14881,14189,12743,17955
12787,19544,15262,11275,18016,12797,11749,15430,11390,13349,14607,11769
17434,17955,17587,10100,11123,16219,11471,15673,15048,18496,16299,15042
17754,19070,11832,10580,10558,14160,14110,10335,13725,17053,13364,11936
13407,11432,15306,18915,12940,18570,11180,19375,13522,19046,11125,15694
13631,14977,14405,10109,10738,13953,16369,12518,13043,13530,11288,11745
12444,12212,19280,18632,19778,17097,17292,10950,11391,16924,19351,15779
14431,12325,13193,10065,15690,11902,13769,11965,14136,18539,19239,11511
19641,16266,16005,15129,10828,15760,16988,16056,17942,19771,16226,11407
13812,17483,17314,15265,14001,15544,16143,19381,19555,14358,18371,19207
15403,14523,19073,14180,15538,11935,14875,11511,11622,16361,13380,11159
12863,14723,11433,14589,15211,12471,18559,10737,12284,14328,17466,12891
17431,15145,14848,10022,13323,14675,10309,19053,16369,16583,12537,19895
10154,16646,15677,18872,17317,18829,17951,11962,13240,11994,18728,17480
17746,19525,13524,11925,10016,10137,17357,14253,11506,11906,18590,11720
18295,19399,19131,13376,17314,14416,19040,15641,18497,19497,13527,19491
12712,14004,18517,11856,12667,18160,18844,12815,12202,10320,14635,12909
13831,12545,16708,16287,16590,15058,10761,10268,16789,15283,16007,19513
17457,11596,12021,13377,14733,10828,13240,18329,10752,12414,12597,17067
11136,11261,11285,17447,19351,12027,13016,16413,17874,14128,17370,15041
