TTI,UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
1,11016,11016,0,0,0,11016,11016,0,0,0,0,0
2,11016,11016,0,0,0,11016,11016,0,0,0,0,0
3,11016,11016,0,0,0,11016,11016,0,0,0,0,0
4,11016,11016,0,0,0,11016,11016,0,0,0,0,0
5,11016,11016,0,0,0,11016,11016,0,0,0,0,0
6,11016,11016,0,0,0,11016,11016,0,0,0,0,0
7,11016,11016,0,0,0,11016,11016,0,0,0,0,0
8,11016,11016,0,0,0,11016,11016,0,0,0,0,0
9,0,11016,0,0,0,11016,11016,0,0,11016,0,0
10,0,0,9224,9224,9224,0,0,0,0,11016,0,0
11,0,0,7808,0,0,9224,0,11016,7808,0,0,0
12,0,0,7808,0,0,9224,0,11016,7808,0,0,0
13,0,0,7808,0,0,9224,0,11016,7808,0,0,0
14,0,0,7808,0,0,9224,0,11016,7808,0,0,0
15,0,0,7808,0,0,9224,0,11016,7808,0,0,0
16,0,0,7808,0,0,9224,0,11016,7808,0,0,0
17,0,0,7808,0,0,9224,0,11016,7808,0,0,0
18,0,0,7808,0,0,9224,0,11016,7808,0,0,0
19,0,0,7808,0,0,9224,0,11016,7808,0,0,0
20,0,0,7808,0,0,9224,0,11016,7808,0,0,0
21,0,0,7808,7808,0,0,0,0,0,0,9224,11016
22,0,0,7808,7808,0,0,0,0,0,0,9224,11016
23,0,0,7808,7808,0,0,0,0,0,0,9224,11016
24,0,0,7808,7808,0,0,0,0,0,0,9224,11016
25,0,0,7808,7808,0,0,0,0,0,0,9224,11016
26,0,0,7808,7808,0,0,0,0,0,0,9224,11016
27,0,0,7808,7808,0,0,0,0,0,0,9224,11016
28,0,0,7808,7808,0,0,0,0,0,0,9224,11016
29,0,0,7808,7808,0,0,0,0,0,0,9224,11016
30,0,0,7808,7808,0,0,0,0,0,0,9224,11016
31,7808,9224,0,7808,0,0,0,0,0,0,9224,0
32,7808,9224,0,7808,0,0,0,0,0,0,9224,0
33,7808,9224,0,7808,0,0,0,0,0,0,9224,0
34,7808,9224,0,7808,0,0,0,0,0,0,9224,0
35,7808,9224,0,7808,0,0,0,0,0,0,9224,0
36,7808,9224,0,7808,0,0,0,0,0,0,9224,0
37,7808,9224,0,7808,0,0,0,0,0,0,9224,0
38,7808,9224,0,7808,0,0,0,0,0,0,9224,0
39,7808,9224,0,7808,0,0,0,0,0,0,9224,0
40,7808,9224,0,7808,0,0,0,0,0,0,9224,0
41,0,0,0,0,11016,11016,11016,0,11016,0,0,0
42,0,0,0,0,11016,11016,11016,0,11016,0,0,0
43,0,0,0,0,11016,11016,11016,0,11016,0,0,0
44,0,0,0,0,11016,11016,11016,0,11016,0,0,0
45,0,0,0,0,11016,11016,11016,0,11016,0,0,0
46,0,0,0,0,11016,11016,11016,0,11016,0,0,0
47,0,0,0,0,11016,11016,11016,0,11016,0,0,0
48,0,0,0,0,11016,11016,11016,0,11016,0,0,0
49,0,0,0,0,11016,11016,11016,0,11016,0,0,0
50,0,0,0,0,11016,11016,11016,0,11016,0,0,0
51,0,11016,11016,11016,0,11016,0,0,0,0,0,0
52,0,11016,11016,11016,0,11016,0,0,0,0,0,0
53,0,11016,11016,11016,0,11016,0,0,0,0,0,0
54,0,11016,11016,11016,0,11016,0,0,0,0,0,0
55,0,11016,11016,11016,0,11016,0,0,0,0,0,0
56,0,11016,11016,11016,0,11016,0,0,0,0,0,0
57,0,11016,11016,11016,0,11016,0,0,0,0,0,0
58,0,11016,11016,11016,0,11016,0,0,0,0,0,0
59,0,11016,11016,11016,0,11016,0,0,0,0,0,0
60,0,11016,11016,11016,0,11016,0,0,0,0,0,0
61,11016,0,0,0,0,11016,7808,0,9224,0,0,0
62,11016,0,0,0,0,11016,7808,0,9224,0,0,0
63,11016,0,0,0,0,11016,7808,0,9224,0,0,0
64,11016,0,0,0,0,11016,7808,0,9224,0,0,0
65,11016,0,0,0,0,11016,7808,0,9224,0,0,0
66,11016,0,0,0,0,11016,7808,0,9224,0,0,0
67,11016,0,0,0,0,11016,7808,0,9224,0,0,0
68,11016,0,0,0,0,11016,7808,0,9224,0,0,0
69,11016,0,0,0,0,11016,7808,0,9224,0,0,0
70,11016,0,0,0,0,11016,7808,0,9224,0,0,0
71,11016,0,0,11016,0,11016,0,0,0,0,0,11016
72,11016,0,0,11016,0,11016,0,0,0,0,0,11016
73,11016,0,0,11016,0,11016,0,0,0,0,0,11016
74,11016,0,0,11016,0,11016,0,0,0,0,0,11016
75,11016,0,0,11016,0,11016,0,0,0,0,0,11016
76,11016,0,0,11016,0,11016,0,0,0,0,0,11016
77,11016,0,0,11016,0,11016,0,0,0,0,0,11016
78,11016,0,0,11016,0,11016,0,0,0,0,0,11016
79,11016,0,0,11016,0,11016,0,0,0,0,0,11016
80,11016,0,0,11016,0,11016,0,0,0,0,0,11016
81,11016,0,11016,11016,0,0,11016,0,0,0,0,0
82,11016,0,11016,11016,0,0,11016,0,0,0,0,0
83,11016,0,11016,11016,0,0,11016,0,0,0,0,0
84,11016,0,11016,11016,0,0,11016,0,0,0,0,0
85,11016,0,11016,11016,0,0,11016,0,0,0,0,0
86,11016,0,11016,11016,0,0,11016,0,0,0,0,0
87,11016,0,11016,11016,0,0,11016,0,0,0,0,0
88,11016,0,11016,11016,0,0,11016,0,0,0,0,0
89,11016,0,11016,11016,0,0,11016,0,0,0,0,0
90,11016,0,11016,11016,0,0,11016,0,0,0,0,0
91,11016,9224,9224,0,0,0,0,0,0,0,0,11016
92,11016,9224,9224,0,0,0,0,0,0,0,0,11016
93,11016,9224,9224,0,0,0,0,0,0,0,0,11016
94,11016,9224,9224,0,0,0,0,0,0,0,0,11016
95,11016,9224,9224,0,0,0,0,0,0,0,0,11016
96,11016,9224,9224,0,0,0,0,0,0,0,0,11016
97,11016,9224,9224,0,0,0,0,0,0,0,0,11016
98,11016,9224,9224,0,0,0,0,0,0,0,0,11016
99,11016,9224,9224,0,0,0,0,0,0,0,0,11016
100,11016,9224,9224,0,0,0,0,0,0,0,0,11016
101,0,0,9224,11016,11016,0,11016,0,0,0,0,0
102,0,0,9224,11016,11016,0,11016,0,0,0,0,0
103,0,0,9224,11016,11016,0,11016,0,0,0,0,0
104,0,0,9224,11016,11016,0,11016,0,0,0,0,0
105,0,0,9224,11016,11016,0,11016,0,0,0,0,0
106,0,0,9224,11016,11016,0,11016,0,0,0,0,0
107,0,0,9224,11016,11016,0,11016,0,0,0,0,0
108,0,0,9224,11016,11016,0,11016,0,0,0,0,0
109,0,0,9224,11016,11016,0,11016,0,0,0,0,0
110,0,0,9224,11016,11016,0,11016,0,0,0,0,0
111,9224,9224,0,0,11016,0,0,11016,0,0,0,0
112,9224,9224,0,0,11016,0,0,11016,0,0,0,0
113,9224,9224,0,0,11016,0,0,11016,0,0,0,0
114,9224,9224,0,0,11016,0,0,11016,0,0,0,0
115,9224,9224,0,0,11016,0,0,11016,0,0,0,0
116,9224,9224,0,0,11016,0,0,11016,0,0,0,0
117,9224,9224,0,0,11016,0,0,11016,0,0,0,0
