TTI,UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
1,11016,11016,0,0,0,11016,11016,0,0,0,0,0
2,0,0,9224,9224,9224,0,0,0,0,11016,0,0
3,0,0,0,0,0,0,0,7808,4736,0,9224,6016
4,11016,11016,0,0,0,11016,11016,0,0,0,0,0
5,0,0,9224,9224,9224,0,0,0,0,11016,0,0
6,11016,0,0,0,0,0,0,7808,0,0,9224,6016
7,0,11016,0,0,0,11016,11016,0,4736,0,0,0
8,0,0,9224,9224,9224,0,0,0,0,11016,0,0
9,11016,11016,0,0,0,0,0,7808,0,0,9224,0
10,0,0,0,0,0,11016,11016,0,0,11016,0,6016
11,0,0,7808,0,0,0,0,11016,7808,0,7808,0
12,0,0,7808,0,0,9224,0,11016,7808,0,0,0
13,0,0,0,0,0,9224,0,11016,7808,0,7808,0
14,6016,0,0,4736,4736,0,0,0,0,0,0,4736
15,0,0,7808,0,0,0,6016,11016,0,0,7808,0
16,0,0,0,0,0,9224,0,11016,7808,6016,0,0
17,6016,4736,7808,0,0,0,0,0,0,0,0,4736
18,0,0,0,4736,4736,9224,0,0,0,0,7808,0
19,0,0,0,0,0,0,6016,11016,7808,6016,0,0
20,6016,0,7808,0,0,9224,0,0,0,0,7808,0
21,0,6016,0,7808,7808,0,0,0,0,0,0,11016
22,0,0,0,0,0,0,7808,0,7808,0,9224,11016
23,0,0,7808,7808,7808,0,0,0,0,0,0,11016
24,6016,6016,0,0,0,0,7808,0,0,0,9224,0
25,0,0,0,7808,0,0,0,0,7808,4736,0,11016
26,0,0,7808,0,7808,0,7808,0,0,0,9224,0
27,6016,6016,0,0,0,6016,0,0,0,0,0,11016
28,0,0,7808,7808,7808,0,0,0,7808,0,0,0
29,0,0,0,0,0,0,7808,4736,0,4736,9224,0
30,6016,6016,0,0,0,6016,0,0,0,0,0,11016
31,0,9224,0,7808,7808,7808,0,0,0,0,0,0
32,7808,9224,0,0,0,0,0,4736,0,0,9224,0
33,0,0,0,7808,7808,7808,0,0,0,4736,0,0
34,7808,9224,0,0,0,0,6016,0,0,0,9224,0
35,0,0,4736,7808,7808,0,0,0,4736,0,0,0
36,0,0,0,0,0,7808,0,4736,0,4736,9224,0
