TTI,UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
1,0,7808,0,9224,0,0,0,7808,0,0,0,7808
2,0,7808,0,9224,0,0,0,7808,0,0,0,7808
3,0,7808,0,9224,0,0,0,7808,0,0,0,7808
4,0,7808,0,9224,0,0,0,7808,0,0,0,7808
5,0,7808,0,9224,0,0,0,7808,0,0,0,7808
6,0,7808,0,9224,0,0,0,7808,0,0,0,7808
7,0,7808,0,9224,0,0,0,7808,0,0,0,7808
8,0,7808,0,9224,0,0,0,7808,0,0,0,7808
9,0,7808,0,9224,0,0,0,7808,0,0,0,7808
10,0,7808,0,0,6016,0,0,7808,0,0,0,7808
11,0,7808,0,0,6016,0,0,7808,0,0,0,7808
12,0,7808,0,0,6016,6016,0,0,0,0,0,7808
13,0,7808,0,0,6016,6016,0,0,0,0,6016,0
14,4736,0,0,0,6016,6016,0,0,0,0,6016,0
15,4736,0,0,0,6016,6016,0,0,0,0,6016,0
16,4736,0,0,0,6016,6016,0,0,0,0,6016,0
17,4736,0,0,0,6016,6016,0,0,0,0,6016,0
18,4736,0,0,0,6016,6016,0,0,0,0,6016,0
19,4736,0,0,0,6016,6016,0,0,0,0,6016,0
20,4736,0,0,0,6016,6016,0,0,0,0,6016,0
21,9224,9224,0,9224,0,0,0,0,0,0,0,9224
22,9224,9224,0,9224,0,0,0,0,0,0,0,9224
23,9224,9224,0,9224,0,0,0,0,0,0,0,9224
24,9224,9224,0,9224,0,0,0,0,0,0,0,9224
25,9224,9224,0,9224,0,0,0,0,0,0,0,9224
26,9224,9224,0,9224,0,0,0,0,0,0,0,9224
27,9224,9224,0,9224,0,0,0,0,0,0,0,9224
28,9224,9224,0,9224,0,0,0,0,0,0,0,9224
29,9224,9224,0,9224,0,0,0,0,0,0,0,9224
30,9224,9224,0,9224,0,0,0,0,0,0,0,9224
31,9224,0,6016,0,7808,7808,0,0,0,0,0,0
32,9224,0,6016,0,7808,7808,0,0,0,0,0,0
33,9224,0,6016,0,7808,7808,0,0,0,0,0,0
34,9224,0,6016,0,7808,7808,0,0,0,0,0,0
35,9224,0,6016,0,7808,7808,0,0,0,0,0,0
36,0,0,6016,0,7808,7808,0,6016,0,0,0,0
37,0,0,6016,0,7808,7808,0,6016,0,0,0,0
38,0,0,6016,0,7808,7808,0,6016,0,0,0,0
39,0,0,6016,0,7808,7808,0,6016,0,0,0,0
40,0,0,6016,0,7808,7808,0,6016,0,0,0,0
41,0,9224,0,0,9224,0,0,0,0,0,9224,9224
42,0,9224,0,0,9224,0,0,0,0,0,9224,9224
43,0,9224,0,0,9224,0,0,0,0,0,9224,9224
44,0,9224,0,0,9224,0,0,0,0,0,9224,9224
45,0,9224,0,0,9224,0,0,0,0,0,9224,9224
46,0,9224,0,0,9224,0,0,0,0,0,9224,9224
47,0,9224,0,0,9224,0,0,0,0,0,9224,9224
48,0,9224,0,0,9224,0,0,0,0,0,9224,9224
49,0,9224,0,0,9224,0,0,0,0,0,9224,9224
50,0,9224,0,0,9224,7808,0,0,0,0,9224,0
51,0,9224,0,0,9224,7808,0,0,0,0,9224,0
52,0,0,0,0,9224,7808,0,0,7808,0,9224,0
53,0,0,0,0,9224,7808,0,0,7808,0,9224,0
54,0,0,0,0,9224,7808,0,0,7808,0,9224,0
55,0,0,0,0,9224,7808,0,0,7808,0,9224,0
56,6016,0,0,0,0,7808,0,0,7808,0,9224,0
57,6016,0,0,0,0,7808,0,0,7808,0,9224,0
58,6016,0,0,0,0,7808,0,0,7808,0,9224,0
59,6016,0,0,0,0,7808,0,0,7808,0,9224,0
60,6016,0,0,0,0,7808,0,0,7808,0,9224,0
61,7808,0,0,0,0,7808,0,0,9224,0,0,7808
62,7808,0,0,0,0,7808,0,0,9224,0,0,7808
63,7808,0,0,0,0,7808,0,0,9224,0,0,7808
64,7808,0,0,0,0,7808,0,0,9224,0,0,7808
65,7808,0,0,0,0,7808,0,0,9224,0,0,7808
66,7808,0,0,0,0,7808,0,0,9224,0,0,7808
67,7808,0,0,0,0,7808,0,0,9224,0,0,7808
68,7808,0,0,0,0,7808,0,0,9224,0,0,7808
69,7808,0,0,0,0,7808,0,0,9224,0,0,7808
70,7808,0,0,0,0,7808,0,0,9224,0,0,7808
71,7808,0,0,0,0,7808,0,0,9224,0,0,7808
72,7808,0,0,0,0,7808,0,0,9224,0,0,7808
73,7808,6016,0,0,0,7808,0,0,9224,0,0,0
74,7808,6016,0,0,0,7808,0,0,9224,0,0,0
75,7808,6016,0,0,0,7808,0,0,9224,0,0,0
76,7808,6016,0,0,0,7808,0,0,9224,0,0,0
77,7808,6016,0,0,0,7808,0,0,9224,0,0,0
78,7808,6016,0,0,0,7808,0,0,9224,0,0,0
79,7808,6016,6016,0,0,0,0,0,9224,0,0,0
80,0,6016,6016,6016,0,0,0,0,9224,0,0,0
81,9224,0,0,7808,7808,0,7808,0,0,0,0,0
82,9224,0,0,7808,7808,0,7808,0,0,0,0,0
83,9224,0,0,7808,7808,0,7808,0,0,0,0,0
84,9224,0,0,7808,7808,0,7808,0,0,0,0,0
85,9224,0,0,7808,7808,0,7808,0,0,0,0,0
86,9224,0,0,7808,7808,0,7808,0,0,0,0,0
87,9224,0,0,7808,7808,0,7808,0,0,0,0,0
88,9224,0,0,7808,7808,0,7808,0,0,0,0,0
89,9224,0,0,7808,7808,0,7808,0,0,0,0,0
90,0,0,0,7808,7808,0,7808,0,0,0,7808,0
91,0,0,0,7808,7808,0,7808,0,0,0,7808,0
92,0,0,0,7808,7808,0,7808,0,0,0,7808,0
93,0,0,0,7808,7808,0,7808,0,0,0,7808,0
94,0,0,0,7808,7808,0,7808,0,0,0,7808,0
95,0,0,0,7808,7808,0,7808,0,0,0,7808,0
96,0,0,0,7808,7808,0,7808,0,0,0,7808,0
97,0,0,0,7808,7808,0,7808,0,0,0,7808,0
98,0,0,0,7808,7808,0,7808,0,0,0,7808,0
99,0,0,0,7808,7808,0,7808,0,0,0,7808,0
100,0,0,0,7808,7808,0,7808,0,0,0,7808,0
101,0,0,0,9224,0,0,0,0,9224,9224,9224,0
102,0,0,0,9224,0,0,0,0,9224,9224,9224,0
103,0,0,0,9224,0,0,0,0,9224,9224,9224,0
104,0,0,0,9224,0,0,0,0,9224,9224,9224,0
105,0,0,0,9224,0,0,0,0,9224,9224,9224,0
106,0,0,0,9224,0,0,0,0,9224,9224,9224,0
