TTI,UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
1,0,0,7808,7808,0,0,0,0,0,7808,0,7808
2,4736,6016,0,0,4736,0,0,0,0,0,6016,0
3,0,0,0,0,0,4736,4736,4736,4736,0,0,0
4,0,0,7808,7808,0,0,0,0,0,7808,0,7808
5,4736,6016,0,0,4736,0,0,0,0,0,6016,0
6,0,0,0,0,0,4736,4736,4736,4736,0,0,0
7,0,0,7808,7808,0,0,0,0,0,7808,0,7808
8,4736,6016,0,0,4736,0,0,0,0,0,6016,0
9,0,0,0,0,0,4736,4736,4736,4736,0,0,0
10,0,0,7808,7808,0,0,0,0,0,7808,0,7808
11,4736,0,0,0,7808,9224,0,6016,0,0,0,0
12,0,0,0,0,7808,9224,4736,0,0,0,6016,0
13,0,4736,0,0,0,9224,0,6016,4736,0,0,0
14,4736,0,0,0,7808,0,0,0,0,7808,0,7808
15,0,0,0,0,0,0,4736,6016,4736,0,6016,0
16,0,4736,0,0,7808,9224,0,0,0,7808,0,0
17,4736,0,0,0,0,0,4736,0,0,0,6016,7808
18,0,0,6016,6016,0,0,0,6016,4736,0,0,0
19,0,4736,0,0,7808,9224,0,0,0,7808,0,0
20,4736,0,0,0,0,0,4736,0,0,0,6016,7808
21,0,0,9224,9224,0,0,7808,9224,0,0,0,0
22,0,0,9224,9224,0,0,0,9224,0,0,9224,0
23,0,0,9224,0,0,0,7808,0,4736,0,9224,0
24,0,4736,0,9224,0,0,7808,9224,0,0,0,0
25,4736,0,0,0,7808,0,0,0,0,0,9224,7808
26,0,0,9224,9224,0,0,0,9224,4736,0,0,0
27,0,4736,0,0,0,7808,7808,0,0,0,9224,0
28,4736,0,0,0,7808,0,0,0,4736,0,0,7808
29,0,0,9224,9224,0,0,7808,9224,0,0,0,0
30,0,4736,0,0,7808,7808,0,0,0,0,9224,0
31,9224,0,0,0,0,0,9224,0,6016,7808,0,0
32,9224,0,0,0,0,9224,0,0,6016,7808,0,0
33,9224,0,0,0,0,9224,9224,0,0,7808,0,0
34,9224,4736,0,0,7808,0,0,0,6016,0,0,0
35,9224,0,0,0,0,9224,9224,0,0,7808,0,0
36,9224,4736,0,0,7808,0,0,0,6016,0,0,0
37,0,0,0,0,0,0,9224,0,0,7808,7808,6016
38,9224,4736,0,0,0,9224,0,0,6016,0,0,0
39,0,0,0,0,7808,0,9224,0,0,7808,0,6016
40,9224,0,0,0,0,9224,0,0,6016,0,7808,0
41,0,9224,9224,0,0,0,0,9224,7808,0,0,0
42,0,9224,9224,0,9224,0,0,9224,0,0,0,0
43,0,9224,9224,0,0,0,0,9224,7808,0,0,0
44,0,9224,9224,0,9224,0,0,9224,0,0,0,0
45,0,9224,0,6016,0,0,0,0,7808,0,0,6016
46,0,9224,9224,0,9224,0,0,9224,0,0,0,0
47,0,9224,0,6016,0,0,0,0,7808,0,0,6016
48,0,9224,9224,0,9224,0,0,9224,0,0,0,0
49,0,0,0,6016,0,0,7808,0,7808,0,0,6016
50,7808,0,9224,0,9224,7808,0,0,0,0,0,0
51,0,0,0,9224,0,0,9224,0,9224,7808,0,0
52,9224,0,0,9224,0,9224,0,0,0,7808,0,0
53,0,0,0,9224,0,0,9224,0,9224,7808,0,0
54,9224,0,0,9224,0,9224,0,0,9224,0,0,0
55,0,0,0,9224,0,0,9224,0,0,7808,0,6016
56,9224,0,0,0,9224,9224,0,0,0,0,6016,0
57,0,0,0,9224,0,0,0,0,9224,7808,0,6016
58,9224,0,0,0,9224,0,9224,0,0,0,6016,0
59,0,0,0,9224,0,9224,0,0,9224,0,0,6016
60,9224,0,0,0,9224,0,9224,0,0,7808,0,0
61,0,0,0,0,0,0,0,6016,9224,0,6016,9224
62,0,0,0,0,0,0,0,6016,9224,0,6016,9224
63,0,0,0,0,0,0,0,6016,9224,0,6016,9224
64,0,0,0,0,0,0,0,6016,9224,0,6016,9224
65,0,0,0,0,0,6016,0,0,9224,0,6016,9224
66,0,0,0,0,0,0,0,6016,9224,0,6016,9224
67,0,4736,0,0,0,0,0,0,9224,0,6016,9224
68,0,0,0,0,0,6016,0,0,9224,0,6016,9224
69,0,0,0,0,0,0,6016,6016,0,0,6016,9224
70,6016,4736,0,0,0,0,0,0,9224,0,0,9224
71,0,0,0,0,0,0,7808,7808,0,6016,7808,0
72,0,6016,0,0,0,0,7808,7808,0,0,7808,0
73,0,6016,0,0,0,0,0,7808,0,6016,7808,0
74,0,6016,0,0,0,0,7808,0,0,6016,7808,0
75,0,0,0,6016,0,0,7808,7808,0,6016,0,0
76,0,6016,0,0,6016,0,0,7808,0,0,7808,0
77,0,0,4736,6016,0,6016,7808,0,0,0,0,0
78,0,6016,0,0,6016,0,0,0,0,6016,7808,0
79,0,0,4736,6016,0,0,7808,7808,0,0,0,0
80,0,6016,0,0,0,6016,0,0,0,6016,7808,0
81,9224,9224,9224,7808,0,0,0,0,0,0,0,0
82,9224,9224,9224,0,0,0,0,0,0,7808,0,0
83,9224,9224,9224,7808,0,0,0,0,0,0,0,0
84,9224,9224,9224,0,0,0,0,0,0,7808,0,0
85,9224,9224,9224,7808,0,0,0,0,0,0,0,0
86,9224,9224,9224,0,0,0,0,0,0,7808,0,0
87,9224,0,9224,7808,0,0,0,0,0,7808,0,0
88,9224,9224,9224,7808,0,0,0,0,0,0,0,0
89,0,0,9224,0,6016,0,0,7808,0,7808,0,0
90,9224,9224,9224,7808,0,0,0,0,0,0,0,0
91,0,0,0,0,9224,9224,7808,9224,0,0,0,0
92,0,0,0,0,9224,9224,7808,9224,0,0,0,0
93,0,0,0,0,9224,9224,7808,9224,0,0,0,0
94,0,0,0,0,9224,9224,7808,9224,0,0,0,0
95,0,0,0,0,9224,9224,7808,9224,0,0,0,0
96,0,0,0,0,9224,9224,7808,9224,0,0,0,0
97,0,0,0,0,9224,9224,7808,9224,0,0,0,0
98,0,0,0,0,9224,9224,7808,9224,0,0,0,0
99,0,0,0,6016,9224,9224,0,9224,0,0,0,0
100,0,0,0,0,9224,9224,7808,9224,0,0,0,0
101,9224,0,0,7808,0,0,0,0,9224,0,9224,0
102,9224,0,0,7808,0,0,0,0,9224,0,9224,0
103,9224,0,0,7808,0,0,0,0,9224,0,9224,0
104,9224,0,0,0,0,0,9224,0,9224,0,9224,0
105,0,7808,0,7808,0,0,0,0,9224,0,9224,0
106,9224,0,0,0,0,0,9224,0,9224,0,9224,0
107,0,7808,0,0,0,0,0,0,9224,6016,9224,0
108,9224,0,0,7808,0,0,0,0,9224,0,9224,0
109,0,7808,0,0,0,0,9224,0,0,6016,9224,0
110,9224,0,0,7808,0,0,0,0,9224,0,9224,0
111,0,0,7808,0,0,7808,9224,0,0,0,0,6016
112,0,0,7808,0,7808,0,0,0,0,0,9224,6016
113,0,0,7808,0,0,7808,9224,0,0,0,0,6016
114,0,0,7808,0,7808,0,0,0,0,0,9224,6016
115,0,0,7808,0,0,7808,9224,0,0,0,0,6016
116,0,0,7808,0,7808,0,0,0,0,0,9224,6016
117,0,0,7808,0,0,7808,9224,0,0,0,0,6016
118,0,0,7808,0,7808,0,0,0,0,0,9224,6016
119,0,0,0,0,7808,7808,9224,0,0,0,0,6016
