TTI,UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
1,4736,6016,7808,7808,0,0,0,0,0,0,0,0
2,0,0,0,0,4736,4736,4736,4736,0,0,0,0
3,0,0,0,0,0,0,0,0,4736,7808,6016,7808
4,4736,6016,7808,7808,0,0,0,0,0,0,0,0
5,0,0,0,0,4736,4736,4736,4736,0,0,0,0
6,0,0,0,0,0,0,0,0,4736,7808,6016,7808
7,4736,6016,7808,7808,0,0,0,0,0,0,0,0
8,0,0,0,0,4736,4736,4736,4736,0,0,0,0
9,0,0,0,0,0,0,0,0,4736,7808,6016,7808
10,4736,6016,7808,7808,0,0,0,0,0,0,0,0
11,0,0,0,0,7808,9224,4736,6016,0,0,0,0
12,0,0,0,0,0,0,0,0,4736,7808,6016,7808
13,4736,4736,6016,6016,0,0,0,0,0,0,0,0
14,0,0,0,0,7808,9224,4736,6016,0,0,0,0
15,0,0,0,0,0,0,0,0,4736,7808,6016,7808
16,4736,4736,6016,6016,0,0,0,0,0,0,0,0
17,0,0,0,0,7808,9224,4736,6016,0,0,0,0
18,0,0,0,0,0,0,0,0,4736,7808,6016,7808
19,4736,4736,6016,6016,0,0,0,0,0,0,0,0
20,0,0,0,0,7808,9224,4736,6016,0,0,0,0
21,0,0,0,0,0,0,0,0,4736,4736,9224,7808
22,4736,4736,9224,9224,0,0,0,0,0,0,0,0
23,0,0,0,0,7808,7808,7808,9224,0,0,0,0
24,0,0,0,0,0,0,0,0,4736,4736,9224,7808
25,4736,4736,9224,9224,0,0,0,0,0,0,0,0
26,0,0,0,0,7808,7808,7808,9224,0,0,0,0
27,0,0,0,0,0,0,0,0,4736,4736,9224,7808
28,4736,4736,9224,9224,0,0,0,0,0,0,0,0
29,0,0,0,0,7808,7808,7808,9224,0,0,0,0
30,0,0,0,0,0,0,0,0,4736,4736,9224,7808
31,9224,4736,4736,4736,0,0,0,0,0,0,0,0
32,0,0,0,0,7808,9224,9224,4736,0,0,0,0
33,0,0,0,0,0,0,0,0,6016,7808,7808,6016
34,9224,4736,4736,4736,0,0,0,0,0,0,0,0
35,0,0,0,0,7808,9224,9224,4736,0,0,0,0
36,0,0,0,0,0,0,0,0,6016,7808,7808,6016
37,9224,4736,4736,4736,0,0,0,0,0,0,0,0
38,0,0,0,0,7808,9224,9224,4736,0,0,0,0
39,0,0,0,0,0,0,0,0,6016,7808,7808,6016
40,9224,4736,4736,4736,0,0,0,0,0,0,0,0
41,0,0,0,0,9224,7808,7808,9224,0,0,0,0
42,0,0,0,0,0,0,0,0,7808,4736,4736,6016
43,7808,9224,9224,6016,0,0,0,0,0,0,0,0
44,0,0,0,0,9224,7808,7808,9224,0,0,0,0
45,0,0,0,0,0,0,0,0,7808,4736,4736,6016
46,7808,9224,9224,6016,0,0,0,0,0,0,0,0
