TTI,UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
1,16392,17424,17424,18960,0,0,0,0,0,0,0,0
2,0,0,0,0,7808,7808,6016,7808,0,0,0,0
3,0,0,0,0,0,0,0,0,1352,2152,1352,1352
4,16392,17424,17424,18960,0,0,0,0,0,0,0,0
5,0,0,0,0,7808,7808,6016,7808,0,0,0,0
6,0,0,0,0,0,0,0,0,1352,2152,1352,1352
7,16392,17424,17424,18960,0,0,0,0,0,0,0,0
8,0,0,0,0,7808,7808,6016,7808,0,0,0,0
9,0,0,0,0,0,0,0,0,1352,2152,1352,1352
10,0,17424,17424,0,7808,7808,0,0,0,0,0,0
11,0,0,0,0,7808,7808,6016,7808,0,0,0,0
12,0,0,0,0,0,0,0,0,1352,2152,1352,1352
13,0,0,0,0,7808,7808,6016,7808,0,0,0,0
14,0,0,0,0,7808,7808,6016,7808,0,0,0,0
15,0,0,0,0,0,0,0,0,1352,2152,1352,1352
16,0,0,0,0,7808,7808,6016,7808,0,0,0,0
17,0,0,0,0,0,0,6016,0,1352,2152,1352,0
18,0,0,0,0,0,0,0,0,1352,2152,1352,1352
19,0,0,0,0,0,0,0,0,1352,2152,1352,1352
20,0,0,0,0,0,0,0,0,1352,2152,1352,1352
21,0,0,0,0,0,0,0,0,2152,1352,2152,848
22,18960,17424,18960,15112,0,0,0,0,0,0,0,0
23,0,0,0,0,4736,4736,4736,11016,0,0,0,0
24,0,0,0,0,0,0,0,0,2152,1352,2152,848
25,18960,17424,18960,15112,0,0,0,0,0,0,0,0
26,0,0,0,0,4736,4736,4736,11016,0,0,0,0
27,0,0,0,0,0,0,0,0,2152,1352,2152,848
28,18960,17424,18960,15112,0,0,0,0,0,0,0,0
29,0,0,0,0,4736,4736,4736,11016,0,0,0,0
30,0,0,0,0,0,0,0,0,2152,1352,2152,848
31,0,17424,18960,15112,4736,0,0,0,0,0,0,0
32,0,0,0,0,4736,4736,4736,11016,0,0,0,0
33,0,0,0,0,0,0,0,0,2152,1352,2152,848
34,0,0,0,0,4736,4736,4736,0,2152,0,0,0
35,0,0,0,0,4736,4736,4736,0,2152,0,0,0
36,0,0,0,0,0,0,0,0,2152,1352,2152,848
37,0,0,0,0,4736,4736,4736,0,2152,0,0,0
38,0,0,0,0,4736,4736,4736,0,2152,0,0,0
39,0,0,0,0,0,0,0,0,2152,1352,2152,848
40,0,0,0,0,0,4736,4736,0,2152,1352,0,0
41,0,0,0,0,6016,4736,11016,11016,0,0,0,0
42,17424,0,0,0,0,0,0,0,3240,2152,0,2152
43,17424,18960,18960,18960,0,0,0,0,0,0,0,0
44,0,0,0,0,6016,4736,11016,11016,0,0,0,0
