TTI,UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
1,13064,17424,0,13064,7808,0,0,0,0,0,0,0
2,13064,17424,0,13064,7808,0,0,0,0,0,0,0
3,13064,17424,0,13064,7808,0,0,0,0,0,0,0
4,13064,17424,0,13064,7808,0,0,0,0,0,0,0
5,13064,17424,0,13064,7808,0,0,0,0,0,0,0
6,0,0,0,0,7808,0,0,11016,1352,0,1352,0
7,13064,17424,0,13064,7808,0,0,0,0,0,0,0
8,13064,17424,0,13064,7808,0,0,0,0,0,0,0
9,13064,17424,0,13064,7808,0,0,0,0,0,0,0
10,13064,17424,0,13064,7808,0,0,0,0,0,0,0
11,17424,15112,0,13064,4736,0,0,0,0,0,0,0
12,17424,15112,0,13064,4736,0,0,0,0,0,0,0
13,17424,15112,0,13064,4736,0,0,0,0,0,0,0
14,17424,15112,0,13064,4736,0,0,0,0,0,0,0
15,17424,15112,0,13064,4736,0,0,0,0,0,0,0
16,17424,15112,0,13064,4736,0,0,0,0,0,0,0
17,17424,15112,0,13064,4736,0,0,0,0,0,0,0
18,0,0,0,0,4736,0,0,4736,3240,0,3240,0
19,17424,15112,15112,0,0,0,0,0,0,0,0,2152
20,0,0,0,0,4736,6016,4736,0,0,0,0,2152
21,0,13064,0,18960,0,0,7808,0,2152,0,0,0
22,0,0,0,18960,4736,9224,0,0,0,0,3240,0
23,15112,13064,0,18960,4736,0,0,0,0,0,0,0
24,0,0,15112,0,4736,0,0,0,2152,0,3240,0
25,15112,13064,0,18960,4736,0,0,0,0,0,0,0
26,15112,13064,0,18960,4736,0,0,0,0,0,0,0
27,15112,13064,0,18960,4736,0,0,0,0,0,0,0
28,15112,13064,0,18960,4736,0,0,0,0,0,0,0
29,15112,13064,0,18960,4736,0,0,0,0,0,0,0
30,15112,13064,0,18960,4736,0,0,0,0,0,0,0
31,16392,18960,0,17424,7808,0,0,0,0,0,0,0
32,16392,18960,0,17424,7808,0,0,0,0,0,0,0
33,16392,18960,0,17424,7808,0,0,0,0,0,0,0
34,16392,18960,0,17424,7808,0,0,0,0,0,0,0
35,16392,18960,0,17424,7808,0,0,0,0,0,0,0
36,16392,18960,0,17424,7808,0,0,0,0,0,0,0
