TTI,UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
1,13064,15112,13064,18960,0,0,0,0,0,0,0,0
2,0,0,0,0,7808,4736,7808,4736,0,0,0,0
3,0,0,0,0,0,0,0,0,3240,1352,3240,4224
4,13064,15112,13064,18960,0,0,0,0,0,0,0,0
5,0,15112,0,18960,7808,0,7808,0,0,0,0,0
6,13064,0,13064,0,0,4736,0,4736,0,0,0,0
7,13064,15112,0,18960,0,0,0,0,0,0,0,4224
8,0,0,13064,0,7808,0,7808,0,3240,0,0,0
9,13064,15112,0,18960,0,0,0,0,0,0,3240,0
10,0,0,13064,18960,0,4736,0,4736,0,0,0,0
11,16392,17424,0,0,11016,0,11016,0,0,0,0,0
12,0,0,16392,18960,0,0,0,7808,0,1352,0,0
13,16392,17424,0,0,11016,0,11016,0,0,0,0,0
14,0,17424,16392,18960,0,6016,0,0,0,0,0,0
15,16392,0,16392,0,11016,0,0,7808,0,0,0,0
16,16392,17424,0,18960,0,0,11016,0,0,0,0,0
17,0,0,16392,18960,0,6016,0,0,2152,0,0,0
18,0,17424,0,0,11016,0,0,0,0,0,2152,2152
19,16392,0,0,18960,0,0,11016,7808,0,0,0,0
20,16392,17424,16392,0,11016,0,0,0,0,0,0,0
21,18960,0,0,0,0,7808,0,0,4224,1352,0,0
22,0,0,15112,0,0,0,11016,0,0,0,3240,3240
23,18960,15112,0,15112,0,0,0,7808,0,0,0,0
24,0,0,15112,0,11016,7808,11016,0,0,0,0,0
25,18960,15112,0,15112,0,0,0,0,4224,0,0,0
26,18960,0,15112,0,11016,0,0,7808,0,0,0,0
27,0,15112,0,15112,0,7808,11016,0,0,0,0,0
28,18960,0,15112,0,0,0,0,0,0,0,3240,3240
29,0,15112,0,15112,11016,0,0,7808,0,0,0,0
30,18960,0,15112,0,0,0,11016,0,0,1352,0,0
31,0,18960,0,15112,0,0,0,0,4224,3240,0,0
32,16392,18960,0,15112,0,0,0,0,0,0,4224,0
33,16392,18960,13064,0,0,0,0,0,0,0,0,3240
34,0,18960,0,15112,0,4736,7808,0,0,0,0,0
35,16392,18960,13064,0,0,0,0,0,4224,0,0,0
36,0,0,0,15112,6016,0,0,0,0,3240,4224,0
37,16392,18960,13064,0,0,0,0,4736,0,0,0,0
38,0,0,0,15112,0,4736,7808,0,0,0,0,3240
39,16392,18960,13064,0,0,0,0,0,4224,0,0,0
40,16392,18960,0,15112,6016,0,0,0,0,0,0,0
41,0,0,16392,0,0,7808,11016,9224,0,0,0,0
42,0,0,16392,0,0,0,0,9224,0,4224,0,4224
43,17424,0,0,13064,0,7808,11016,0,0,0,0,0
44,17424,16392,16392,0,0,0,0,9224,0,0,0,0
45,0,16392,16392,13064,0,0,11016,0,0,0,0,0
46,17424,0,0,0,4736,7808,0,0,0,4224,0,0
47,0,16392,16392,0,0,0,0,0,3240,0,0,4224
48,17424,0,0,13064,0,0,11016,9224,0,0,0,0
49,17424,16392,16392,0,0,7808,0,0,0,0,0,0
50,0,0,0,13064,4736,0,11016,9224,0,0,0,0
51,18960,0,0,16392,0,11016,0,0,0,0,2152,0
52,18960,15112,17424,0,0,0,0,0,0,0,0,4224
53,0,0,0,16392,6016,11016,0,0,3240,0,0,0
54,0,15112,17424,0,0,0,11016,9224,0,0,0,0
55,18960,0,17424,16392,0,11016,0,0,0,0,0,0
56,18960,15112,0,16392,0,0,11016,0,0,0,0,0
57,0,0,17424,0,6016,0,0,9224,0,0,0,4224
58,18960,0,0,0,0,11016,0,0,0,2152,2152,0
59,0,15112,17424,16392,0,0,11016,0,0,0,0,0
60,18960,15112,0,0,0,0,0,9224,3240,0,0,0
61,0,17424,0,17424,9224,11016,0,0,0,0,0,0
62,16392,0,16392,17424,9224,0,0,0,0,0,0,0
63,0,17424,16392,0,0,11016,0,9224,0,0,0,0
64,16392,17424,16392,17424,0,0,0,0,0,0,0,0
65,0,0,0,17424,9224,11016,0,0,0,0,2152,0
66,16392,17424,16392,0,0,0,0,9224,0,0,0,0
67,16392,17424,0,17424,9224,0,0,0,0,0,0,0
68,0,0,16392,0,0,11016,4736,9224,0,0,0,0
69,16392,17424,0,17424,0,0,0,0,2152,0,0,0
70,0,0,16392,17424,9224,11016,0,0,0,0,0,0
71,0,0,0,0,0,0,7808,0,0,3240,3240,4224
72,15112,17424,13064,0,0,0,7808,0,0,0,0,0
73,15112,17424,0,13064,0,0,0,0,0,0,0,4224
74,0,17424,13064,0,0,0,0,6016,0,3240,0,0
75,15112,0,0,0,0,7808,7808,0,2152,0,0,0
76,0,17424,0,13064,6016,0,0,0,0,0,3240,0
77,15112,17424,13064,0,0,0,0,0,0,0,0,4224
