TTI,UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
1,18960,13064,15112,15112,0,0,0,0,0,0,0,0
2,0,0,0,0,4224,4736,4224,6016,0,0,0,0
3,18960,0,0,0,0,0,0,0,848,1352,0,2152
4,18960,13064,15112,15112,0,0,0,0,0,0,0,0
5,0,0,0,0,4224,4736,4224,6016,0,0,0,0
6,18960,0,0,0,0,0,0,0,848,1352,0,2152
7,18960,13064,15112,15112,0,0,0,0,0,0,0,0
8,0,0,0,0,4224,4736,4224,6016,0,0,0,0
9,18960,0,0,0,0,0,0,0,848,1352,0,2152
10,0,13064,15112,15112,4224,0,0,0,0,0,0,0
11,0,0,0,0,4224,4736,4224,6016,0,0,0,0
12,0,13064,0,0,0,0,0,0,848,1352,0,2152
13,0,13064,15112,15112,4224,0,0,0,0,0,0,0
14,0,0,0,0,4224,4736,4224,6016,0,0,0,0
15,0,13064,0,0,0,0,0,0,848,1352,0,2152
16,0,13064,15112,15112,4224,0,0,0,0,0,0,0
17,0,0,0,0,4224,4736,4224,6016,0,0,0,0
18,0,0,15112,0,0,0,0,0,848,1352,0,2152
19,0,0,0,15112,4224,4736,4224,0,0,0,0,0
20,0,0,0,0,4224,4736,4224,6016,0,0,0,0
21,0,0,0,0,0,0,0,0,3240,848,848,848
22,17424,15112,16392,18960,0,0,0,0,0,0,0,0
23,0,0,0,0,6016,11016,4224,11016,0,0,0,0
24,0,0,0,0,0,0,0,0,3240,848,848,848
25,17424,15112,16392,18960,0,0,0,0,0,0,0,0
26,0,0,0,0,6016,11016,4224,11016,0,0,0,0
27,0,0,0,0,0,0,0,0,3240,848,848,848
28,17424,15112,16392,18960,0,0,0,0,0,0,0,0
29,0,0,0,0,6016,11016,4224,11016,0,0,0,0
30,0,0,0,0,0,0,0,0,3240,848,848,848
31,17424,15112,16392,18960,0,0,0,0,0,0,0,0
32,0,0,0,0,6016,11016,4224,11016,0,0,0,0
33,0,0,0,0,0,0,0,0,3240,848,848,848
34,17424,15112,16392,18960,0,0,0,0,0,0,0,0
35,0,0,0,0,6016,11016,4224,11016,0,0,0,0
36,0,0,0,0,0,0,0,0,3240,848,848,848
37,17424,15112,16392,0,6016,0,0,0,0,0,0,0
38,0,0,0,0,6016,11016,4224,11016,0,0,0,0
39,0,0,0,0,0,0,0,0,3240,848,848,848
40,0,15112,0,0,6016,11016,4224,0,0,0,0,0
41,0,0,0,0,9224,6016,4736,4736,0,0,0,0
42,15112,0,0,0,0,0,0,0,0,3240,848,848
43,15112,13064,15112,17424,0,0,0,0,0,0,0,0
44,0,0,0,0,9224,6016,4736,4736,0,0,0,0
45,15112,0,0,0,0,0,0,0,0,3240,848,848
46,15112,13064,15112,17424,0,0,0,0,0,0,0,0
47,0,0,0,0,9224,6016,4736,4736,0,0,0,0
48,15112,0,0,0,0,0,0,0,0,3240,848,848
49,15112,13064,15112,17424,0,0,0,0,0,0,0,0
50,0,0,0,0,9224,6016,4736,4736,0,0,0,0
51,15112,0,0,0,0,0,0,0,0,3240,848,848
52,0,13064,15112,17424,9224,0,0,0,0,0,0,0
53,0,0,0,0,9224,6016,4736,4736,0,0,0,0
54,0,13064,0,0,0,0,0,0,0,3240,848,848
55,0,13064,15112,17424,9224,0,0,0,0,0,0,0
56,0,0,0,0,9224,6016,4736,4736,0,0,0,0
57,0,13064,0,0,0,0,0,0,0,3240,848,848
58,0,13064,15112,17424,9224,0,0,0,0,0,0,0
59,0,0,0,0,9224,6016,4736,4736,0,0,0,0
60,0,0,15112,0,0,0,0,0,0,3240,848,848
61,15112,13064,17424,13064,0,0,0,0,0,0,0,0
62,0,0,0,0,7808,11016,9224,4736,0,0,0,0
63,15112,13064,0,0,0,0,0,0,848,848,0,0
64,15112,13064,17424,13064,0,0,0,0,0,0,0,0
65,0,0,0,0,7808,11016,9224,4736,0,0,0,0
66,15112,13064,0,0,0,0,0,0,848,848,0,0
67,15112,13064,17424,13064,0,0,0,0,0,0,0,0
68,0,0,0,0,7808,11016,9224,4736,0,0,0,0
69,15112,13064,0,0,0,0,0,0,848,848,0,0
70,15112,13064,17424,13064,0,0,0,0,0,0,0,0
71,0,0,0,0,7808,11016,9224,4736,0,0,0,0
72,0,13064,17424,0,0,0,0,0,848,848,0,0
73,0,0,17424,13064,7808,11016,0,0,0,0,0,0
74,0,0,0,0,7808,11016,9224,4736,0,0,0,0
75,0,0,0,13064,7808,0,0,0,848,848,0,0
76,0,0,0,13064,7808,11016,9224,0,0,0,0,0
77,0,0,0,0,7808,11016,9224,4736,0,0,0,0
78,0,0,0,13064,7808,0,0,0,848,848,0,0
79,0,0,0,0,7808,11016,9224,4736,0,0,0,0
80,0,0,0,0,7808,11016,9224,4736,0,0,0,0
81,18960,13064,0,0,0,0,0,0,3240,0,0,848
82,18960,13064,18960,16392,0,0,0,0,0,0,0,0
83,0,0,0,0,9224,6016,6016,7808,0,0,0,0
84,18960,13064,0,0,0,0,0,0,3240,0,0,848
85,18960,13064,18960,16392,0,0,0,0,0,0,0,0
86,0,0,0,0,9224,6016,6016,7808,0,0,0,0
87,18960,13064,0,0,0,0,0,0,3240,0,0,848
88,0,13064,18960,16392,9224,0,0,0,0,0,0,0
89,0,0,0,0,9224,6016,6016,7808,0,0,0,0
90,0,13064,18960,0,0,0,0,0,3240,0,0,848
91,0,13064,18960,16392,9224,0,0,0,0,0,0,0
92,0,0,0,0,9224,6016,6016,7808,0,0,0,0
93,0,0,0,16392,9224,0,0,0,3240,0,0,848
94,0,0,0,16392,9224,6016,6016,0,0,0,0,0
95,0,0,0,0,9224,6016,6016,7808,0,0,0,0
96,0,0,0,0,9224,6016,0,0,3240,0,0,848
97,0,0,0,0,9224,6016,6016,7808,0,0,0,0
98,0,0,0,0,9224,6016,6016,7808,0,0,0,0
99,0,0,0,0,9224,6016,0,0,3240,0,0,848
100,0,0,0,0,9224,6016,6016,7808,0,0,0,0
101,0,0,0,0,4224,6016,4736,4736,0,0,0,0
102,16392,0,0,0,0,0,0,0,1352,2152,2152,0
103,16392,15112,18960,13064,0,0,0,0,0,0,0,0
104,0,0,0,0,4224,6016,4736,4736,0,0,0,0
105,16392,0,0,0,0,0,0,0,1352,2152,2152,0
106,16392,15112,18960,13064,0,0,0,0,0,0,0,0
107,0,0,0,0,4224,6016,4736,4736,0,0,0,0
108,16392,0,0,0,0,0,0,0,1352,2152,2152,0
109,16392,15112,18960,13064,0,0,0,0,0,0,0,0
110,0,0,0,0,4224,6016,4736,4736,0,0,0,0
111,0,15112,0,0,0,0,0,0,1352,2152,2152,0
112,0,15112,18960,13064,4224,0,0,0,0,0,0,0
113,0,0,0,0,4224,6016,4736,4736,0,0,0,0
114,0,15112,0,0,0,0,0,0,1352,2152,2152,0
115,0,15112,18960,13064,4224,0,0,0,0,0,0,0
116,0,0,0,0,4224,6016,4736,4736,0,0,0,0
117,0,0,18960,0,0,0,0,0,1352,2152,2152,0
118,0,0,0,13064,4224,6016,4736,0,0,0,0,0
119,0,0,0,0,4224,6016,4736,4736,0,0,0,0
120,0,0,0,13064,0,0,0,0,1352,2152,2152,0
121,18960,15112,13064,17424,0,0,0,0,0,0,0,0
122,0,0,0,0,4224,4224,6016,4736,0,0,0,0
123,0,0,0,0,0,0,0,0,1352,2152,1352,1352
124,18960,15112,13064,17424,0,0,0,0,0,0,0,0
125,0,0,0,0,4224,4224,6016,4736,0,0,0,0
126,0,0,0,0,0,0,0,0,1352,2152,1352,1352
127,18960,15112,13064,17424,0,0,0,0,0,0,0,0
128,0,0,0,0,4224,4224,6016,4736,0,0,0,0
129,0,0,0,0,0,0,0,0,1352,2152,1352,1352
130,18960,15112,13064,17424,0,0,0,0,0,0,0,0
131,0,0,0,0,4224,4224,6016,4736,0,0,0,0
132,0,0,0,0,0,0,0,0,1352,2152,1352,1352
133,18960,15112,13064,17424,0,0,0,0,0,0,0,0
134,0,0,0,0,4224,4224,6016,4736,0,0,0,0
135,0,0,0,0,0,0,0,0,1352,2152,1352,1352
136,18960,15112,13064,17424,0,0,0,0,0,0,0,0
137,0,0,0,0,4224,4224,6016,4736,0,0,0,0
138,0,0,0,0,0,0,0,0,1352,2152,1352,1352
139,0,15112,13064,0,4224,4224,0,0,0,0,0,0
140,0,0,0,0,4224,4224,6016,4736,0,0,0,0
141,0,0,0,0,0,0,0,0,848,1352,3240,2152
142,16392,15112,15112,17424,0,0,0,0,0,0,0,0
143,0,0,0,0,4224,9224,4736,7808,0,0,0,0
144,0,0,0,0,0,0,0,0,848,1352,3240,2152
145,16392,15112,15112,17424,0,0,0,0,0,0,0,0
146,0,0,0,0,4224,9224,4736,7808,0,0,0,0
147,0,0,0,0,0,0,0,0,848,1352,3240,2152
148,16392,15112,15112,17424,0,0,0,0,0,0,0,0
149,0,0,0,0,4224,9224,4736,7808,0,0,0,0
150,0,0,0,0,0,0,0,0,848,1352,3240,2152
151,16392,15112,15112,17424,0,0,0,0,0,0,0,0
152,0,0,0,0,4224,9224,4736,7808,0,0,0,0
153,0,0,0,0,0,0,0,0,848,1352,3240,2152
154,16392,15112,15112,17424,0,0,0,0,0,0,0,0
155,0,0,0,0,4224,9224,4736,7808,0,0,0,0
156,0,0,0,0,0,0,0,0,848,1352,3240,2152
157,16392,15112,15112,17424,0,0,0,0,0,0,0,0
158,0,0,0,0,4224,9224,4736,7808,0,0,0,0
159,0,0,0,0,0,0,0,0,848,1352,3240,2152
160,16392,15112,15112,0,4224,0,0,0,0,0,0,0
161,0,0,0,0,9224,9224,9224,4736,0,0,0,0
162,0,0,0,0,0,0,0,0,2152,2152,848,2152
163,13064,17424,17424,13064,0,0,0,0,0,0,0,0
164,0,0,0,0,9224,9224,9224,4736,0,0,0,0
165,0,0,0,0,0,0,0,0,2152,2152,848,2152
166,13064,17424,17424,13064,0,0,0,0,0,0,0,0
167,0,0,0,0,9224,9224,9224,4736,0,0,0,0
168,0,0,0,0,0,0,0,0,2152,2152,848,2152
169,13064,17424,17424,13064,0,0,0,0,0,0,0,0
170,0,0,0,0,9224,9224,9224,4736,0,0,0,0
171,0,0,0,0,0,0,0,0,2152,2152,848,2152
172,13064,17424,17424,13064,0,0,0,0,0,0,0,0
173,0,0,0,0,9224,9224,9224,4736,0,0,0,0
174,0,0,0,0,0,0,0,0,2152,2152,848,2152
175,13064,17424,17424,13064,0,0,0,0,0,0,0,0
176,0,0,0,0,9224,9224,9224,4736,0,0,0,0
177,0,0,0,0,0,0,0,0,2152,2152,848,2152
178,13064,17424,17424,13064,0,0,0,0,0,0,0,0
179,0,0,0,0,9224,9224,9224,4736,0,0,0,0
180,0,0,0,0,0,0,0,0,2152,2152,848,2152
181,15112,17424,16392,13064,0,0,0,0,0,0,0,0
182,0,0,0,0,11016,4736,7808,4224,0,0,0,0
183,15112,17424,0,0,0,0,0,0,0,3240,848,0
184,15112,17424,16392,13064,0,0,0,0,0,0,0,0
185,0,0,0,0,11016,4736,7808,4224,0,0,0,0
186,15112,17424,0,0,0,0,0,0,0,3240,848,0
187,15112,17424,16392,13064,0,0,0,0,0,0,0,0
188,0,0,0,0,11016,4736,7808,4224,0,0,0,0
189,15112,17424,0,0,0,0,0,0,0,3240,848,0
190,15112,0,16392,13064,11016,0,0,0,0,0,0,0
191,0,0,0,0,11016,4736,7808,4224,0,0,0,0
192,15112,0,16392,0,0,0,0,0,0,3240,848,0
193,0,0,16392,13064,11016,4736,0,0,0,0,0,0
194,0,0,0,0,11016,4736,7808,4224,0,0,0,0
195,0,0,0,13064,11016,0,0,0,0,3240,848,0
196,0,0,0,13064,11016,4736,7808,0,0,0,0,0
197,0,0,0,0,11016,4736,7808,4224,0,0,0,0
198,0,0,0,13064,11016,0,0,0,0,3240,848,0
199,0,0,0,13064,11016,4736,7808,0,0,0,0,0
200,0,0,0,0,11016,4736,7808,4224,0,0,0,0
201,0,0,0,0,0,0,0,0,2152,2152,848,3240
202,15112,17424,15112,18960,0,0,0,0,0,0,0,0
203,0,0,0,0,11016,6016,11016,9224,0,0,0,0
204,0,0,0,0,0,0,0,0,2152,2152,848,3240
205,15112,17424,15112,18960,0,0,0,0,0,0,0,0
206,0,0,0,0,11016,6016,11016,9224,0,0,0,0
207,0,0,0,0,0,0,0,0,2152,2152,848,3240
208,15112,17424,15112,18960,0,0,0,0,0,0,0,0
209,0,0,0,0,11016,6016,11016,9224,0,0,0,0
210,0,0,0,0,0,0,0,0,2152,2152,848,3240
211,15112,17424,15112,18960,0,0,0,0,0,0,0,0
212,0,0,0,0,11016,6016,11016,9224,0,0,0,0
213,0,0,0,0,0,0,0,0,2152,2152,848,3240
214,15112,17424,15112,18960,0,0,0,0,0,0,0,0
215,0,0,0,0,11016,6016,11016,9224,0,0,0,0
216,0,0,0,0,0,0,0,0,2152,2152,848,3240
217,15112,17424,15112,18960,0,0,0,0,0,0,0,0
218,0,0,0,0,11016,6016,11016,9224,0,0,0,0
219,0,0,0,0,0,0,0,0,2152,2152,848,3240
220,15112,0,15112,0,11016,6016,0,0,0,0,0,0
221,0,0,0,0,4224,6016,4736,4224,0,0,0,0
222,18960,0,0,0,0,0,0,0,848,1352,3240,0
223,18960,15112,13064,18960,0,0,0,0,0,0,0,0
224,0,0,0,0,4224,6016,4736,4224,0,0,0,0
225,18960,0,0,0,0,0,0,0,848,1352,3240,0
226,18960,15112,13064,18960,0,0,0,0,0,0,0,0
227,0,0,0,0,4224,6016,4736,4224,0,0,0,0
228,18960,0,0,0,0,0,0,0,848,1352,3240,0
229,0,15112,13064,18960,4224,0,0,0,0,0,0,0
230,0,0,0,0,4224,6016,4736,4224,0,0,0,0
231,0,15112,0,0,0,0,0,0,848,1352,3240,0
232,0,15112,13064,18960,4224,0,0,0,0,0,0,0
233,0,0,0,0,4224,6016,4736,4224,0,0,0,0
234,0,15112,0,0,0,0,0,0,848,1352,3240,0
235,0,15112,13064,18960,4224,0,0,0,0,0,0,0
236,0,0,0,0,4224,6016,4736,4224,0,0,0,0
237,0,0,13064,0,0,0,0,0,848,1352,3240,0
238,0,0,13064,0,4224,6016,4736,0,0,0,0,0
239,0,0,0,0,4224,6016,4736,4224,0,0,0,0
240,0,0,13064,0,0,0,0,0,848,1352,3240,0
241,16392,16392,15112,15112,0,0,0,0,0,0,0,0
242,0,0,0,0,6016,6016,11016,7808,0,0,0,0
243,16392,0,0,0,0,0,0,0,3240,3240,0,3240
244,16392,16392,15112,15112,0,0,0,0,0,0,0,0
245,0,0,0,0,6016,6016,11016,7808,0,0,0,0
246,16392,0,0,0,0,0,0,0,3240,3240,0,3240
247,16392,16392,15112,15112,0,0,0,0,0,0,0,0
248,0,0,0,0,6016,6016,11016,7808,0,0,0,0
249,16392,0,0,0,0,0,0,0,3240,3240,0,3240
250,16392,16392,15112,15112,0,0,0,0,0,0,0,0
251,0,0,0,0,6016,6016,11016,7808,0,0,0,0
252,0,16392,0,0,0,0,0,0,3240,3240,0,3240
253,0,16392,15112,15112,6016,0,0,0,0,0,0,0
254,0,0,0,0,6016,6016,11016,7808,0,0,0,0
255,0,16392,0,0,0,0,0,0,3240,3240,0,3240
256,0,0,15112,15112,6016,6016,0,0,0,0,0,0
257,0,0,0,0,6016,6016,11016,7808,0,0,0,0
258,0,0,15112,0,0,0,0,0,3240,3240,0,3240
259,0,0,0,15112,6016,6016,11016,0,0,0,0,0
260,0,0,0,0,6016,6016,11016,7808,0,0,0,0
261,0,0,0,0,0,0,0,0,1352,2152,3240,2152
262,15112,16392,13064,16392,0,0,0,0,0,0,0,0
263,0,0,0,0,4736,6016,11016,7808,0,0,0,0
264,0,0,0,0,0,0,0,0,1352,2152,3240,2152
265,15112,16392,13064,16392,0,0,0,0,0,0,0,0
266,0,0,0,0,4736,6016,11016,7808,0,0,0,0
267,0,0,0,0,0,0,0,0,1352,2152,3240,2152
268,15112,16392,13064,16392,0,0,0,0,0,0,0,0
269,0,0,0,0,4736,6016,11016,7808,0,0,0,0
270,0,0,0,0,0,0,0,0,1352,2152,3240,2152
271,15112,16392,13064,16392,0,0,0,0,0,0,0,0
272,0,0,0,0,4736,6016,11016,7808,0,0,0,0
273,0,0,0,0,0,0,0,0,1352,2152,3240,2152
274,15112,16392,13064,16392,0,0,0,0,0,0,0,0
275,0,0,0,0,4736,6016,11016,7808,0,0,0,0
276,0,0,0,0,0,0,0,0,1352,2152,3240,2152
277,15112,16392,13064,16392,0,0,0,0,0,0,0,0
278,0,0,0,0,4736,6016,11016,7808,0,0,0,0
279,0,0,0,0,0,0,0,0,1352,2152,3240,2152
280,15112,0,13064,16392,4736,0,0,0,0,0,0,0
281,0,0,0,0,6016,6016,6016,9224,0,0,0,0
282,18960,0,0,0,0,0,0,0,0,3240,3240,1352
283,18960,13064,16392,16392,0,0,0,0,0,0,0,0
284,0,0,0,0,6016,6016,6016,9224,0,0,0,0
285,18960,0,0,0,0,0,0,0,0,3240,3240,1352
286,18960,13064,16392,16392,0,0,0,0,0,0,0,0
287,0,0,0,0,6016,6016,6016,9224,0,0,0,0
288,18960,0,0,0,0,0,0,0,0,3240,3240,1352
289,18960,13064,16392,16392,0,0,0,0,0,0,0,0
290,0,0,0,0,6016,6016,6016,9224,0,0,0,0
291,0,13064,0,0,0,0,0,0,0,3240,3240,1352
292,0,13064,16392,16392,6016,0,0,0,0,0,0,0
293,0,0,0,0,6016,6016,6016,9224,0,0,0,0
294,0,13064,0,0,0,0,0,0,0,3240,3240,1352
295,0,13064,16392,16392,6016,0,0,0,0,0,0,0
296,0,0,0,0,6016,6016,6016,9224,0,0,0,0
297,0,0,16392,0,0,0,0,0,0,3240,3240,1352
298,0,0,0,16392,6016,6016,6016,0,0,0,0,0
299,0,0,0,0,6016,6016,6016,9224,0,0,0,0
300,0,0,0,0,6016,0,0,0,0,3240,3240,1352
301,17424,15112,17424,18960,0,0,0,0,0,0,0,0
302,0,0,0,0,7808,11016,11016,4736,0,0,0,0
303,17424,15112,0,0,0,0,0,0,0,0,3240,3240
304,17424,15112,17424,18960,0,0,0,0,0,0,0,0
305,0,0,0,0,7808,11016,11016,4736,0,0,0,0
306,17424,15112,0,0,0,0,0,0,0,0,3240,3240
307,17424,15112,17424,18960,0,0,0,0,0,0,0,0
308,0,0,0,0,7808,11016,11016,4736,0,0,0,0
309,17424,15112,0,0,0,0,0,0,0,0,3240,3240
310,0,15112,17424,18960,7808,0,0,0,0,0,0,0
311,0,0,0,0,7808,11016,11016,4736,0,0,0,0
312,0,0,17424,18960,0,0,0,0,0,0,3240,3240
313,0,0,17424,18960,7808,11016,0,0,0,0,0,0
314,0,0,0,0,7808,11016,11016,4736,0,0,0,0
315,0,0,0,0,7808,11016,0,0,0,0,3240,3240
316,0,0,0,0,7808,11016,11016,4736,0,0,0,0
317,0,0,0,0,7808,11016,11016,4736,0,0,0,0
318,0,0,0,0,7808,11016,0,0,0,0,3240,3240
319,0,0,0,0,7808,11016,11016,4736,0,0,0,0
320,0,0,0,0,7808,11016,11016,4736,0,0,0,0
321,0,0,0,0,0,0,0,0,848,3240,2152,848
322,13064,16392,18960,13064,0,0,0,0,0,0,0,0
323,0,0,0,0,4736,4224,4736,7808,0,0,0,0
324,0,0,0,0,0,0,0,0,848,3240,2152,848
325,13064,16392,18960,13064,0,0,0,0,0,0,0,0
326,0,0,0,0,4736,4224,4736,7808,0,0,0,0
