TTI,UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
1,13064,17424,15112,13064,0,0,0,0,0,0,0,0
2,13064,17424,15112,13064,0,0,0,0,0,0,0,0
3,13064,17424,15112,13064,0,0,0,0,0,0,0,0
4,13064,17424,15112,13064,0,0,0,0,0,0,0,0
5,13064,17424,15112,13064,0,0,0,0,0,0,0,0
6,13064,17424,15112,13064,0,0,0,0,0,0,0,0
7,13064,0,15112,13064,0,0,0,11016,0,0,0,0
8,0,0,0,13064,7808,0,9224,11016,0,0,0,0
9,0,0,0,0,7808,7808,9224,11016,0,0,0,0
10,0,0,0,0,7808,7808,9224,11016,0,0,0,0
11,17424,15112,15112,13064,0,0,0,0,0,0,0,0
12,17424,15112,15112,13064,0,0,0,0,0,0,0,0
13,17424,15112,15112,13064,0,0,0,0,0,0,0,0
14,17424,15112,15112,13064,0,0,0,0,0,0,0,0
15,17424,15112,15112,13064,0,0,0,0,0,0,0,0
16,17424,15112,15112,13064,0,0,0,0,0,0,0,0
17,0,15112,15112,13064,0,6016,0,0,0,0,0,0
18,0,0,0,0,4736,6016,4736,4736,0,0,0,0
19,0,0,0,0,4736,6016,4736,4736,0,0,0,0
20,0,0,0,0,4736,6016,4736,4736,0,0,0,0
21,15112,13064,15112,18960,0,0,0,0,0,0,0,0
22,15112,13064,15112,18960,0,0,0,0,0,0,0,0
23,15112,13064,15112,18960,0,0,0,0,0,0,0,0
24,15112,13064,15112,18960,0,0,0,0,0,0,0,0
25,15112,13064,15112,18960,0,0,0,0,0,0,0,0
26,15112,13064,15112,18960,0,0,0,0,0,0,0,0
27,15112,13064,15112,0,0,0,0,11016,0,0,0,0
28,0,13064,0,0,0,9224,7808,11016,0,0,0,0
29,0,0,0,0,4736,9224,7808,11016,0,0,0,0
30,0,0,0,0,4736,9224,7808,11016,0,0,0,0
31,16392,18960,18960,17424,0,0,0,0,0,0,0,0
32,16392,18960,18960,17424,0,0,0,0,0,0,0,0
33,16392,18960,18960,17424,0,0,0,0,0,0,0,0
34,16392,18960,18960,17424,0,0,0,0,0,0,0,0
35,16392,18960,18960,17424,0,0,0,0,0,0,0,0
36,16392,0,0,17424,7808,0,0,11016,0,0,0,0
37,0,0,0,0,7808,7808,4736,11016,0,0,0,0
38,0,0,0,0,7808,7808,4736,11016,0,0,0,0
39,0,0,0,0,7808,7808,4736,11016,0,0,0,0
40,0,0,0,0,7808,7808,4736,11016,0,0,0,0
41,16392,16392,16392,18960,0,0,0,0,0,0,0,0
42,16392,16392,16392,18960,0,0,0,0,0,0,0,0
43,16392,16392,16392,18960,0,0,0,0,0,0,0,0
44,16392,16392,16392,18960,0,0,0,0,0,0,0,0
45,16392,16392,16392,18960,0,0,0,0,0,0,0,0
46,16392,16392,16392,0,0,11016,0,0,0,0,0,0
47,0,16392,16392,0,6016,11016,0,0,0,0,0,0
48,0,0,0,0,6016,11016,6016,4736,0,0,0,0
49,0,0,0,0,6016,11016,6016,4736,0,0,0,0
50,0,0,0,0,6016,11016,6016,4736,0,0,0,0
51,16392,18960,17424,13064,0,0,0,0,0,0,0,0
52,16392,18960,17424,13064,0,0,0,0,0,0,0,0
53,16392,18960,17424,13064,0,0,0,0,0,0,0,0
54,16392,18960,17424,13064,0,0,0,0,0,0,0,0
55,16392,18960,17424,13064,0,0,0,0,0,0,0,0
56,16392,0,17424,13064,9224,0,0,0,0,0,0,0
57,0,0,0,13064,9224,7808,4736,0,0,0,0,0
58,0,0,0,13064,9224,7808,4736,0,0,0,0,0
59,0,0,0,0,9224,7808,4736,4736,0,0,0,0
60,0,0,0,0,9224,7808,4736,4736,0,0,0,0
61,15112,18960,18960,16392,0,0,0,0,0,0,0,0
62,15112,18960,18960,16392,0,0,0,0,0,0,0,0
63,15112,18960,18960,16392,0,0,0,0,0,0,0,0
64,15112,18960,18960,16392,0,0,0,0,0,0,0,0
65,15112,18960,18960,16392,0,0,0,0,0,0,0,0
66,15112,0,0,16392,0,6016,0,7808,0,0,0,0
67,15112,0,0,0,0,6016,6016,7808,0,0,0,0
68,0,0,0,0,4736,6016,6016,7808,0,0,0,0
69,0,0,0,0,4736,6016,6016,7808,0,0,0,0
70,0,0,0,0,4736,6016,6016,7808,0,0,0,0
71,16392,15112,13064,16392,0,0,0,0,0,0,0,0
72,16392,15112,13064,16392,0,0,0,0,0,0,0,0
73,16392,15112,13064,16392,0,0,0,0,0,0,0,0
74,16392,15112,13064,16392,0,0,0,0,0,0,0,0
75,16392,15112,13064,16392,0,0,0,0,0,0,0,0
76,16392,15112,13064,16392,0,0,0,0,0,0,0,0
77,0,15112,13064,0,0,11016,0,11016,0,0,0,0
78,0,0,13064,0,7808,11016,0,11016,0,0,0,0
79,0,0,0,0,7808,11016,7808,11016,0,0,0,0
80,0,0,0,0,7808,11016,7808,11016,0,0,0,0
81,18960,18960,18960,17424,0,0,0,0,0,0,0,0
82,18960,18960,18960,17424,0,0,0,0,0,0,0,0
83,18960,18960,18960,17424,0,0,0,0,0,0,0,0
84,18960,18960,18960,17424,0,0,0,0,0,0,0,0
85,18960,18960,18960,17424,0,0,0,0,0,0,0,0
86,18960,0,0,17424,11016,0,11016,0,0,0,0,0
87,0,0,0,0,11016,9224,11016,11016,0,0,0,0
