TTI,UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
1,7808,7808,7808,7808,0,0,0,0,0,0,0,0
2,7808,7808,7808,7808,0,0,0,0,0,0,0,0
3,7808,7808,7808,7808,0,0,0,0,0,0,0,0
4,7808,7808,7808,7808,0,0,0,0,0,0,0,0
5,7808,7808,7808,7808,0,0,0,0,0,0,0,0
6,7808,7808,7808,7808,0,0,0,0,0,0,0,0
7,7808,0,0,7808,7808,7808,0,0,0,0,0,0
8,0,0,0,0,7808,7808,7808,7808,0,0,0,0
9,0,0,0,0,7808,7808,7808,7808,0,0,0,0
10,0,0,0,0,7808,7808,7808,7808,0,0,0,0
11,0,0,0,0,7808,7808,7808,7808,0,0,0,0
12,0,0,0,0,0,7808,7808,7808,7808,0,0,0
13,0,0,0,0,0,7808,7808,7808,7808,0,0,0
14,0,0,0,0,0,0,7808,0,7808,7808,7808,0
15,0,0,0,0,0,0,7808,0,7808,7808,7808,0
16,0,0,0,0,0,0,0,0,7808,7808,7808,7808
17,0,0,0,0,0,0,0,0,7808,7808,7808,7808
18,0,0,0,0,0,0,0,0,7808,7808,7808,7808
19,0,0,0,0,0,0,0,0,7808,7808,7808,7808
20,0,0,0,0,0,0,0,0,7808,7808,7808,7808
21,7808,0,0,0,0,0,0,0,0,9224,9224,9224
22,7808,0,0,0,0,0,0,0,0,9224,9224,9224
23,7808,0,0,0,0,0,0,0,0,9224,9224,9224
24,7808,0,0,0,0,0,0,0,0,9224,9224,9224
25,7808,7808,0,0,0,0,0,0,0,9224,0,9224
26,0,7808,7808,7808,0,0,0,0,0,0,0,9224
27,0,7808,7808,7808,7808,0,0,0,0,0,0,0
28,0,7808,7808,7808,7808,0,0,0,0,0,0,0
29,0,7808,7808,7808,7808,0,0,0,0,0,0,0
30,0,7808,7808,7808,7808,0,0,0,0,0,0,0
31,0,7808,7808,7808,7808,0,0,0,0,0,0,0
32,0,7808,7808,7808,7808,0,0,0,0,0,0,0
33,0,0,0,0,0,7808,7808,7808,7808,0,0,0
34,0,0,0,0,0,7808,7808,7808,7808,0,0,0
35,0,0,0,0,0,7808,7808,7808,7808,0,0,0
36,0,0,0,0,0,7808,7808,7808,7808,0,0,0
37,0,0,0,0,0,7808,7808,7808,7808,0,0,0
38,0,0,0,0,0,7808,0,7808,7808,0,0,0
39,0,0,0,0,0,7808,0,0,7808,0,0,0
40,0,0,0,0,0,7808,0,0,0,0,0,0
41,0,0,9224,0,0,0,0,0,0,11016,11016,11016
42,0,0,9224,0,0,0,0,0,0,11016,11016,11016
43,0,0,9224,0,0,0,0,0,0,11016,11016,11016
44,0,0,9224,0,0,0,0,0,0,11016,11016,11016
45,0,0,9224,0,0,0,0,0,0,11016,11016,11016
46,0,0,9224,9224,9224,9224,0,0,0,0,0,0
47,0,0,0,9224,9224,9224,9224,0,0,0,0,0
48,0,0,0,9224,9224,9224,9224,0,0,0,0,0
49,0,0,0,9224,9224,9224,9224,0,0,0,0,0
50,0,0,0,9224,9224,9224,9224,0,0,0,0,0
51,0,0,0,9224,9224,9224,9224,0,0,0,0,0
52,0,0,0,0,9224,9224,9224,9224,0,0,0,0
53,0,0,0,0,9224,0,9224,9224,9224,0,0,0
54,7808,7808,0,0,0,0,0,9224,9224,0,0,0
55,7808,7808,0,0,0,0,0,9224,9224,0,0,0
56,7808,7808,0,0,0,0,0,9224,9224,0,0,0
57,7808,7808,0,0,0,0,0,9224,9224,0,0,0
58,7808,7808,0,0,0,0,0,9224,0,0,0,0
59,0,7808,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,11016,0,0,0,13064,13064,13064
62,0,0,0,0,0,11016,0,0,0,13064,13064,13064
63,0,0,0,0,0,11016,0,0,0,13064,13064,13064
64,0,0,0,0,0,11016,11016,0,0,13064,13064,0
65,0,0,0,0,0,11016,11016,11016,0,0,13064,0
66,0,0,0,0,0,11016,11016,11016,11016,0,0,0
67,9224,0,0,0,0,0,11016,11016,11016,0,0,0
68,9224,9224,0,0,0,0,0,11016,11016,0,0,0
69,9224,9224,0,0,0,0,0,11016,11016,0,0,0
70,9224,9224,9224,9224,0,0,0,0,0,0,0,0
71,9224,9224,9224,9224,0,0,0,0,0,0,0,0
72,0,9224,9224,9224,9224,0,0,0,0,0,0,0
73,0,9224,9224,9224,9224,0,0,0,0,0,0,0
74,0,9224,9224,9224,9224,0,0,0,0,0,0,0
75,0,9224,9224,0,9224,0,0,0,0,0,0,0
76,0,0,0,0,9224,0,0,0,0,0,0,0
77,0,0,0,0,9224,0,0,0,0,0,0,0
78,0,0,0,0,9224,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,13064,13064,0,0,15112,15112
82,0,0,0,0,0,0,13064,13064,0,0,15112,15112
83,0,0,0,0,0,0,13064,13064,0,0,15112,15112
84,0,0,0,0,0,0,13064,13064,0,0,15112,15112
85,0,0,11016,0,0,0,0,13064,13064,13064,0,0
86,0,0,11016,11016,0,0,0,0,13064,13064,0,0
87,0,0,11016,11016,0,0,0,0,13064,13064,0,0
88,0,0,11016,11016,0,0,0,0,13064,13064,0,0
89,0,0,0,11016,11016,11016,0,0,0,13064,0,0
90,9224,0,0,11016,11016,11016,0,0,0,0,0,0
91,9224,0,0,11016,11016,11016,0,0,0,0,0,0
92,9224,9224,0,0,11016,11016,0,0,0,0,0,0
93,9224,9224,0,0,0,11016,0,0,0,0,0,0
94,9224,9224,0,0,0,0,0,0,0,0,0,0
95,9224,9224,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,15112,15112,15112,0,16392
102,0,0,0,0,0,0,0,15112,15112,15112,0,16392
103,0,0,0,0,0,0,0,15112,15112,15112,0,16392
104,0,0,0,0,13064,13064,13064,0,0,0,15112,0
105,0,0,0,0,13064,13064,13064,0,0,0,15112,0
106,0,0,0,0,13064,13064,13064,0,0,0,15112,0
107,0,11016,0,0,13064,13064,13064,0,0,0,0,0
108,0,11016,11016,0,13064,0,13064,0,0,0,0,0
109,9224,11016,11016,11016,0,0,0,0,0,0,0,0
110,9224,11016,11016,11016,0,0,0,0,0,0,0,0
111,9224,11016,11016,11016,0,0,0,0,0,0,0,0
112,9224,11016,11016,11016,0,0,0,0,0,0,0,0
113,9224,0,0,11016,0,0,0,0,0,0,0,0
114,0,0,0,11016,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,15112,0,0,0,16392,16392,16392
122,0,0,0,0,0,15112,0,0,0,16392,16392,16392
123,0,0,0,0,0,15112,0,0,0,16392,16392,16392
124,0,0,0,0,0,15112,15112,0,0,16392,16392,0
125,0,0,0,0,0,0,15112,15112,15112,0,16392,0
126,0,0,13064,0,0,0,15112,15112,15112,0,0,0
127,0,0,13064,0,0,0,15112,15112,15112,0,0,0
128,0,0,13064,13064,13064,0,15112,0,0,0,0,0
129,11016,0,13064,13064,13064,0,0,0,0,0,0,0
130,11016,0,13064,13064,13064,0,0,0,0,0,0,0
131,11016,11016,0,0,13064,0,0,0,0,0,0,0
132,0,11016,0,0,13064,0,0,0,0,0,0,0
133,0,11016,0,0,13064,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,16392,16392,16392,16392,0
142,0,0,0,0,0,0,0,16392,16392,16392,16392,0
143,0,0,0,0,0,0,0,16392,16392,16392,16392,0
144,0,0,0,0,0,0,0,16392,16392,0,16392,16392
145,0,0,0,0,15112,15112,0,0,16392,0,0,16392
146,0,0,0,0,15112,15112,15112,0,0,0,0,16392
147,0,13064,0,0,0,15112,15112,0,0,0,0,16392
148,0,13064,0,0,0,15112,15112,0,0,0,0,16392
149,0,13064,13064,13064,0,15112,0,0,0,0,0,0
150,11016,13064,13064,13064,0,0,0,0,0,0,0,0
151,11016,13064,13064,13064,0,0,0,0,0,0,0,0
152,11016,0,13064,0,0,0,0,0,0,0,0,0
153,11016,0,13064,0,0,0,0,0,0,0,0,0
154,11016,0,0,0,0,0,0,0,0,0,0,0
155,11016,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,16392,16392,16392,16392,0,0,0
162,0,0,0,0,0,16392,16392,16392,16392,0,0,0
163,0,0,0,0,0,16392,16392,16392,16392,0,0,0
164,0,0,0,15112,0,0,0,0,0,16392,16392,16392
165,0,0,0,15112,0,0,0,0,0,16392,16392,16392
166,0,0,0,15112,0,0,0,0,0,16392,16392,16392
167,0,13064,0,15112,15112,0,0,0,0,0,16392,0
168,0,13064,13064,0,15112,0,0,0,0,0,16392,0
169,11016,13064,13064,0,15112,0,0,0,0,0,0,0
170,11016,13064,13064,0,0,0,0,0,0,0,0,0
171,11016,13064,0,0,0,0,0,0,0,0,0,0
172,11016,0,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0,0
181,0,0,0,0,16392,16392,16392,16392,0,0,0,0
182,0,0,0,0,16392,16392,16392,16392,0,0,0,0
183,0,0,0,0,16392,16392,0,16392,16392,0,0,0
184,0,0,0,0,0,0,0,16392,16392,16392,16392,0
185,0,0,0,0,0,0,0,0,16392,16392,16392,16392
186,0,0,15112,0,0,0,0,0,0,16392,16392,16392
187,13064,0,15112,15112,0,0,0,0,0,16392,0,0
188,13064,0,15112,15112,0,0,0,0,0,16392,0,0
189,13064,13064,15112,15112,0,0,0,0,0,0,0,0
190,13064,13064,0,15112,0,0,0,0,0,0,0,0
191,0,13064,0,15112,0,0,0,0,0,0,0,0
192,0,13064,0,0,0,0,0,0,0,0,0,0
193,0,13064,0,0,0,0,0,0,0,0,0,0
194,0,13064,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,16392,16392,16392,16392,0,0,0,0,0
202,0,0,0,16392,16392,16392,16392,0,0,0,0,0
203,0,0,0,0,16392,16392,16392,16392,0,0,0,0
204,0,0,0,0,16392,16392,0,16392,16392,0,0,0
205,0,0,0,0,16392,0,0,16392,16392,16392,0,0
206,0,0,0,0,0,0,0,0,16392,16392,16392,16392
207,0,0,0,0,0,0,0,0,16392,16392,16392,16392
208,0,15112,15112,0,0,0,0,0,0,0,16392,16392
209,13064,15112,15112,0,0,0,0,0,0,0,16392,0
210,13064,15112,15112,0,0,0,0,0,0,0,16392,0
211,13064,15112,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0,0
221,0,0,0,16392,16392,16392,16392,0,0,0,0,0
222,0,0,0,16392,16392,16392,16392,0,0,0,0,0
223,0,0,0,16392,16392,16392,16392,0,0,0,0,0
224,0,0,0,0,16392,16392,0,16392,16392,0,0,0
225,0,0,0,0,0,16392,0,16392,16392,16392,0,0
226,0,0,0,0,0,0,0,16392,16392,16392,16392,0
227,0,15112,0,0,0,0,0,0,16392,16392,16392,0
228,0,15112,15112,0,0,0,0,0,0,16392,16392,0
229,0,15112,15112,0,0,0,0,0,0,0,16392,15112
230,13064,15112,15112,0,0,0,0,0,0,0,0,15112
231,13064,0,15112,0,0,0,0,0,0,0,0,15112
232,13064,0,0,0,0,0,0,0,0,0,0,15112
233,13064,0,0,0,0,0,0,0,0,0,0,0
