TTI,UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
1,13064,17424,15112,13064,0,0,0,0,0,0,0,0
2,0,0,0,0,7808,7808,9224,11016,0,0,0,0
3,0,0,0,0,0,0,0,0,1352,848,1352,1352
4,13064,17424,15112,13064,0,0,0,0,0,0,0,0
5,0,0,0,0,7808,7808,9224,11016,0,0,0,0
6,0,0,0,0,0,0,0,0,1352,848,1352,1352
7,13064,17424,15112,13064,0,0,0,0,0,0,0,0
8,0,0,0,0,7808,7808,9224,11016,0,0,0,0
9,0,0,0,0,0,0,0,0,1352,848,1352,1352
10,13064,17424,15112,13064,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,3240,3240,3240,2152
12,17424,0,0,0,0,0,0,0,3240,3240,3240,0
13,0,0,0,0,0,6016,0,0,3240,3240,0,2152
14,17424,0,15112,13064,0,0,0,0,0,0,3240,0
15,0,15112,0,0,4736,0,0,0,0,3240,0,2152
16,0,0,15112,0,0,6016,0,0,3240,0,3240,0
17,17424,15112,0,13064,0,0,4736,0,0,0,0,0
18,0,0,0,0,4736,0,0,4736,0,3240,0,2152
19,0,0,15112,0,0,6016,0,0,3240,0,3240,0
20,17424,15112,0,13064,0,0,4736,0,0,0,0,0
21,0,0,0,18960,0,9224,7808,11016,0,0,0,0
22,0,0,0,0,4736,9224,7808,11016,0,0,0,0
23,0,0,0,18960,0,0,0,11016,0,3240,3240,0
24,0,0,15112,0,4736,9224,7808,0,0,0,0,0
25,15112,0,0,18960,0,0,0,11016,0,3240,0,0
26,0,13064,15112,0,0,0,7808,0,0,0,3240,0
27,0,0,0,0,4736,9224,0,11016,0,3240,0,0
28,15112,0,0,18960,0,0,0,0,2152,0,3240,0
29,0,13064,15112,0,0,9224,7808,0,0,0,0,0
30,0,0,0,0,4736,0,0,11016,2152,3240,0,0
31,0,18960,18960,0,7808,0,0,0,0,4224,0,0
32,16392,18960,18960,0,7808,0,0,0,0,0,0,0
33,16392,0,0,17424,7808,0,0,0,0,4224,0,0
34,0,18960,0,0,0,0,0,11016,2152,0,0,848
35,0,0,18960,17424,0,7808,0,0,0,4224,0,0
36,16392,18960,0,0,7808,0,0,11016,0,0,0,0
37,0,0,18960,17424,0,0,0,0,2152,0,0,848
38,16392,0,0,0,7808,7808,0,0,0,4224,0,0
39,0,18960,0,0,0,0,0,11016,2152,0,0,848
40,0,0,18960,17424,0,7808,4736,0,0,0,0,0
41,0,0,0,0,0,11016,6016,0,0,0,3240,3240
42,0,0,0,0,0,11016,0,0,0,4224,3240,3240
43,16392,0,0,18960,0,0,0,0,0,0,3240,3240
44,0,0,0,0,0,0,6016,0,0,4224,3240,3240
45,16392,16392,0,0,0,11016,0,0,0,0,0,3240
46,0,0,16392,18960,0,0,6016,0,0,0,0,3240
47,0,0,0,0,6016,11016,0,0,0,4224,3240,0
48,16392,16392,0,18960,0,0,6016,0,0,0,0,0
49,0,0,16392,0,6016,0,0,0,0,0,3240,3240
50,16392,16392,0,0,0,11016,0,0,0,4224,0,0
51,0,0,17424,0,9224,0,0,0,1352,0,0,4224
52,0,18960,0,0,9224,0,0,0,1352,0,0,4224
53,16392,0,17424,0,9224,0,0,0,0,0,0,4224
54,0,18960,0,0,9224,0,4736,0,1352,0,0,0
55,16392,18960,17424,0,0,0,0,0,0,0,0,4224
56,0,0,0,13064,9224,0,4736,4736,0,0,0,0
57,16392,0,17424,0,0,0,0,0,1352,0,0,4224
58,0,18960,0,0,0,7808,0,4736,0,0,2152,0
59,0,0,0,13064,9224,0,4736,0,1352,0,0,0
60,16392,0,17424,0,0,7808,0,0,0,0,0,4224
61,0,0,0,16392,0,0,6016,7808,2152,0,0,0
62,0,18960,0,16392,0,0,0,7808,2152,0,0,0
63,0,0,0,0,0,0,6016,7808,2152,0,2152,0
64,0,18960,18960,16392,0,0,0,7808,0,0,0,0
65,15112,0,0,0,0,0,6016,0,2152,0,2152,0
66,0,18960,18960,16392,0,0,0,7808,0,0,0,0
67,15112,0,0,0,0,0,6016,0,2152,0,2152,0
68,0,0,18960,0,0,6016,0,7808,0,0,0,3240
69,0,18960,0,16392,0,0,6016,0,0,0,2152,0
70,15112,0,18960,0,0,0,0,0,2152,0,0,3240
71,0,0,0,0,0,11016,0,11016,0,2152,4224,0
72,0,0,0,0,7808,11016,7808,0,0,0,4224,0
73,0,0,0,0,0,11016,0,11016,0,2152,4224,0
74,16392,0,0,0,7808,0,7808,0,0,2152,0,0
75,0,0,0,16392,0,11016,0,11016,0,0,4224,0
76,16392,0,0,0,7808,0,7808,0,2152,0,0,0
77,0,0,0,0,0,11016,0,11016,0,2152,4224,0
78,0,15112,0,16392,7808,0,0,0,2152,0,0,0
79,16392,0,0,0,0,0,7808,0,0,2152,4224,0
80,0,0,0,16392,7808,11016,0,11016,0,0,0,0
81,0,18960,18960,0,0,0,11016,0,4224,0,0,0
82,0,0,18960,0,11016,0,11016,0,4224,0,0,0
83,18960,18960,0,0,11016,0,0,0,4224,0,0,0
84,0,0,18960,17424,0,0,11016,0,4224,0,0,0
85,18960,18960,0,0,11016,0,0,11016,0,0,0,0
86,0,0,18960,17424,0,0,11016,0,4224,0,0,0
87,18960,18960,0,0,0,9224,0,11016,0,0,0,0
88,0,0,18960,17424,11016,0,0,0,4224,0,0,0
89,18960,0,0,0,0,9224,11016,11016,0,0,0,0
90,0,18960,0,17424,11016,0,0,0,4224,0,0,0
91,0,0,0,0,0,0,11016,0,0,1352,4224,1352
92,0,0,0,0,0,0,11016,0,4224,1352,4224,0
93,15112,0,0,16392,0,0,0,0,0,0,4224,1352
94,0,0,0,0,0,0,11016,0,4224,1352,4224,0
95,0,0,13064,16392,0,0,0,0,0,0,4224,1352
96,15112,0,0,0,0,0,0,7808,4224,1352,0,0
97,0,13064,0,0,7808,0,11016,0,0,0,4224,0
98,0,0,13064,16392,0,6016,0,0,0,0,0,1352
99,15112,0,0,0,0,0,0,7808,4224,1352,0,0
100,0,13064,0,0,7808,0,11016,0,0,0,4224,0
101,0,0,18960,16392,11016,9224,0,0,0,0,0,0
102,15112,0,18960,0,11016,9224,0,0,0,0,0,0
103,0,0,18960,0,11016,9224,0,0,0,1352,0,0
104,0,13064,18960,16392,0,9224,0,0,0,0,0,0
105,15112,13064,0,0,11016,0,0,0,0,1352,0,0
106,0,0,18960,16392,0,9224,0,6016,0,0,0,0
107,15112,13064,0,0,11016,0,0,0,0,1352,0,0
108,0,0,18960,16392,0,9224,0,6016,0,0,0,0
109,15112,0,0,0,11016,0,0,0,0,1352,0,848
110,0,13064,18960,16392,0,9224,0,0,0,0,0,0
111,15112,16392,0,0,0,0,0,11016,0,0,0,1352
112,0,16392,0,0,0,0,6016,11016,0,0,0,1352
113,15112,16392,0,0,0,0,0,11016,0,0,0,1352
114,0,0,0,0,0,0,6016,11016,0,0,2152,1352
115,0,0,16392,0,0,7808,0,11016,0,0,0,1352
116,15112,16392,0,0,0,0,0,11016,0,0,2152,0
117,0,0,0,13064,0,7808,6016,0,0,0,0,1352
118,15112,16392,16392,0,0,0,0,11016,0,0,0,0
119,0,0,0,13064,0,0,6016,0,0,0,2152,1352
120,0,16392,16392,0,0,7808,0,0,0,848,0,0
121,0,0,0,13064,11016,0,0,0,0,3240,4224,0
122,0,17424,0,0,11016,0,0,0,0,3240,4224,0
123,0,0,0,0,11016,0,0,0,1352,3240,4224,0
124,0,0,16392,0,11016,0,0,0,0,3240,4224,0
125,13064,0,0,13064,0,0,0,0,0,3240,4224,0
126,0,17424,0,0,11016,0,0,9224,0,3240,0,0
127,0,0,16392,0,0,0,0,0,1352,3240,4224,0
128,13064,17424,0,13064,0,0,0,9224,0,0,0,0
129,0,0,0,0,11016,6016,4736,0,0,3240,0,0
130,13064,0,16392,0,0,0,0,0,1352,0,4224,0
131,18960,0,0,0,0,11016,7808,0,0,0,0,3240
132,18960,0,0,0,0,11016,7808,0,0,0,0,3240
133,0,18960,0,0,0,11016,7808,0,0,0,0,3240
