UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
8649,8241,8379,9029,9589,8180,8282,9849,9513,8189,8055,8783
8535,9087,8923,8248,8263,8410,9215,8175,8600,8738,9281,8506
8899,8538,9443,8700,8226,9483,8920,9053,8792,8348,8066,9507
9780,8435,9064,9656,8833,8858,8524,9629,8154,9910,8296,9241
8819,8426,9376,8898,8585,8169,9785,9355,9812,9212,8523,8627
8889,9612,9625,9039,8502,9582,8474,8619,8108,9941,8629,9260
9577,8644,8744,9454,9610,9647,9427,9616,8560,9478,8280,8988
8703,9927,9493,8154,9395,9731,8498,8814,9014,9750,8044,8749
9421,9569,8250,9731,9069,8738,8084,8381,9352,9055,9928,9920
8133,8667,8024,9424,8314,8756,9246,8664,9103,8074,9967,9659
9313,8597,8309,8106,9366,8887,9945,8076,9675,8134,9932,8753
8401,9805,8992,9079,9248,9503,9995,9596,9207,8158,8447,8640
9422,8201,9583,8462,9433,9401,8303,8296,8956,9368,8308,8129
8311,8802,9432,9339,9011,8827,9599,9217,8417,8355,8028,9908
8045,8928,9939,9075,8325,9781,8716,9149,8129,8251,8899,8155
8048,8554,8198,8693,9280,9965,9481,9919,9291,8171,9269,9294
8318,9665,8404,9918,8197,8238,8744,8895,9884,9110,9483,9628
9852,9707,8164,8703,8473,8415,9214,9756,8275,8564,9821,9984
9888,9205,9149,9329,8116,8658,9445,9059,8859,9069,8709,9426
8118,8183,8672,9300,9562,8315,9853,8655,8479,9589,9920,9823
8227,8207,8714,9694,9157,8965,8196,9600,8494,8048,8454,8924
9541,8705,8054,8049,9486,9685,8891,9464,9087,8833,9309,9130
8109,9856,8510,9793,9472,8794,9396,8037,8439,9542,8889,8506
8406,9929,9115,8206,9960,9254,9977,9771,8108,8806,8038,9978
9223,8516,9828,9039,9377,9277,8866,9035,9383,9858,8132,9597
9724,8842,8629,8464,9167,9906,8939,9270,8312,9383,9061,9541
9816,8912,8018,9159,8000,9010,8815,8204,9757,9564,9800,8132
9449,9111,9381,9730,9001,8337,8674,8213,9128,9359,9652,8224
8579,9925,9268,8065,8326,8874,8559,8766,8311,9072,9038,9626
9400,9623,9435,8684,9527,9716,9078,8639,9324,8702,9557,9531
8293,9003,9665,8889,9388,9062,8949,8721,8539,8713,9502,9465
9277,9511,8238,9688,9674,9259,8828,8696,8693,9232,9521,9124
8851,9064,8541,8029,9924,8938,9763,9670,9268,9846,9033,8177
9597,8289,8984,8116,8656,8850,9024,9280,9413,9879,9240,9552
9291,9454,9709,8371,8766,9652,9094,9464,8164,9334,9050,8407
8436,8891,8363,8210,8426,8246,8221,9737,9593,9426,9412,9467
8895,8028,8345,8594,9554,9238,8550,8083,8126,9217,9916,8989
8867,9310,9949,8708,9529,8786,9614,9423,8136,8403,9824,8706
8463,9097,8952,9576,9921,8458,9942,9916,8582,8831,8578,9311
9729,8583,9315,9195,9430,9018,8689,8924,9858,8001,9550,8302
9376,9764,8382,9377,9423,9982,9865,9295,9175,9349,9576,8996
8040,8905,9734,8593,8114,9457,8715,9608,9216,9425,8058,9424
9307,9936,8421,8941,8577,8013,9668,8883,8580,9821,9132,9751
9997,8953,8250,9986,9183,9979,9280,8672,8540,9504,8308,9514
9141,8346,8913,9455,9342,9265,8278,8785,8299,8596,9555,8403
9208,9741,8546,9083,8359,8672,8590,9961,8338,8378,9439,9616
9756,8695,9003,9909,8252,9841,9075,9140,9250,9636,8550,8100
9270,8398,8401,9427,9873,8499,8433,9026,9511,8975,9327,9079
8507,9376,8083,9507,9850,8024,9668,9393,8887,9108,8131,9011
9672,9878,9243,8895,8369,9113,8084,9807,9382,9220,8053,9133
8220,8755,9379,9492,9757,9128,9943,8434,9469,9727,8073,9033
8099,8239,9070,9878,9713,9402,8182,9257,9968,8468,8586,8293
9849,9146,8991,8054,8052,9182,9969,9913,9521,8883,8591,9418
9046,8307,8385,9634,8445,9746,8700,8392,8002,8305,9925,8191
9369,8723,9580,8384,8993,9274,9320,9071,8589,9242,8826,8767
8403,8035,9930,9994,9766,8824,9784,8743,9158,10000,9765,8434
9842,9439,8485,8101,9732,8704,8474,8352,8159,8288,9034,9058
9812,9836,9285,9611,9166,9464,9760,8978,9706,8760,9906,8335
9227,9148,9558,8262,8822,9490,8810,8478,9450,9795,8893,9925
9319,8217,9804,8712,8218,9417,8287,8803,9262,8181,8377,9729
9362,8619,9628,9737,9433,8823,8996,8667,8392,8927,8153,8744
8741,8979,8637,8715,8843,9538,9150,9661,8394,9898,8337,8520
9966,9461,8381,8882,8425,8663,9540,9458,9463,8040,8899,9276
8140,9411,8889,9062,9021,8351,9428,9815,9617,8083,9587,8433
9496,8864,8868,9464,9377,9644,8404,9298,9535,9014,8840,9450
8194,8132,9063,8627,9756,8451,8838,9644,9599,8181,8839,8964
8162,8330,9920,9796,9285,9755,8157,8140,9646,9817,9367,8829
9395,8088,8970,8301,9995,9973,9002,9454,8774,8706,8918,8588
9030,9989,9678,9231,9554,8513,8836,9958,8427,9584,8964,8586
8848,8063,9086,9138,9574,8140,9986,8106,8379,9549,8685,8251
8986,8729,8242,9251,9447,8457,8758,9890,8376,9626,9978,9373
8235,8349,8630,9734,8627,9401,8752,9333,8136,9730,8156,8183
9342,8766,9232,9423,8032,8626,9141,8739,9135,9809,8538,8457
9657,9958,8868,8172,9096,9462,8620,9716,8595,9234,9185,8771
9555,8351,8101,9978,8338,8121,8957,8007,8266,8341,8899,8784
8974,8165,8608,9323,9879,8902,9043,8300,9742,9917,9954,9362
9907,9855,8898,8757,9887,9112,9536,9925,9098,9331,8771,9340
8241,8916,9421,8146,9083,9771,9974,8491,8586,8468,8492,8926
8519,8145,9486,8592,9238,9967,9429,9132,9936,8745,8425,8583
8562,8015,9954,9687,8956,9300,9352,8188,8398,9361,8365,9426
9338,8682,9759,8350,8487,8974,8649,8817,9319,9024,8438,8573
8054,9250,9587,8208,9354,8565,8376,8218,8603,8517,8361,9091
9094,8303,9882,8124,8124,9115,9278,9062,9957,9789,8670,8738
8596,8093,9387,8713,8752,8645,9963,9075,8221,9816,8204,8497
9435,9512,8335,9021,8463,8519,8640,9355,9211,8306,9917,9434
8366,9497,8735,8579,8397,9433,8806,9385,9721,9072,9461,8445
8281,9029,9591,9116,9831,9542,8710,8357,9558,9476,9294,9717
8799,8660,9587,8017,9143,8986,9861,8188,9831,9555,8447,8702
9482,8913,9685,8921,8934,9335,9463,8671,9273,8487,8608,9072
9270,9700,8897,9316,8882,8355,9054,8959,8364,9988,8904,9225
8497,8834,9433,9733,8247,9953,9620,8399,8716,8530,9766,9959
8767,9868,8894,9998,9859,8922,9269,8767,8531,8346,8695,9049
9843,9755,8440,8150,9077,8924,9076,8127,8625,9985,8040,8141
9208,8796,9591,9795,8368,9756,8696,9735,8349,9840,8366,9261
8263,9682,8484,8654,9536,9725,9361,9129,8749,9363,9001,8881
8406,8822,8149,8155,9882,8993,8608,9600,8062,8640,8159,9005
9837,8555,9176,8573,8597,9457,8772,9234,8740,8036,8914,9582
9355,9458,8966,8606,9905,8383,8099,9963,9042,9284,8269,8902
8808,9712,8518,9182,9762,9733,8993,9993,9205,9888,9446,9696
9298,9201,9839,8176,9234,9599,8311,8289,8660,9835,8784,9894
2256,2883,2646,2131,1924,2884,2558,2476,2968,2973,2149,1178
2750,2053,1952,1820,2271,2712,2138,1511,2558,2641,1789,1857
1130,1981,1031,1018,2768,2187,2882,1461,2398,2873,2465,2313
2078,2293,1325,2707,2082,2193,1302,2645,2616,1629,1570,2092
2748,2483,2166,2801,2810,1968,1756,2186,1202,1252,1386,1387
1846,1414,1685,1572,1243,2333,2499,1111,2632,1408,2536,2349
1347,1946,2808,2925,1497,2224,1034,1789,1391,2815,1845,2398
1218,1613,1525,2762,2752,2906,2640,2720,2751,1373,2496,2056
2054,1888,2663,1828,1493,2086,1146,1588,2572,1999,2272,1249
1100,2249,1602,1182,2370,1702,2790,1805,1551,2111,2400,2798
1491,2103,2729,1141,1765,2324,2721,1202,1608,2237,2147,2857
1310,1263,1951,2039,1541,1735,2433,2458,1993,2585,1619,2849
2248,2392,1182,2896,1135,1267,2984,2751,2525,1228,2460,1461
2205,1648,1917,2616,1742,1899,1505,2871,2422,2988,1146,2368
2068,2067,1242,2814,1670,1323,2761,1402,1841,2342,2562,1728
2911,1695,2657,2922,2411,2143,2891,1770,1389,1823,2906,2361
2439,2764,2539,2225,2254,1932,2533,1889,1937,1958,1704,2675
2900,2141,2623,1407,1605,2221,1541,2591,2450,1699,2457,2471
2265,2283,1752,2917,2656,1853,2670,2890,1005,1225,2029,2409
1650,2037,2643,2937,1996,2732,1833,1567,2178,1916,1161,1814
2035,1881,1828,2832,2215,2392,1270,2737,2302,1659,2829,1693
2885,1147,2038,2310,2344,1452,1508,1461,1979,1815,2901,1650
2420,2324,1094,2767,2905,1687,1359,2538,2537,1570,1731,1098
1919,1909,1763,2933,2869,2713,2874,1400,1941,1560,2487,1458
2168,2506,1488,1549,2614,1535,2441,1025,2847,2709,2342,1097
1830,2432,1687,2856,1627,2055,1269,1342,1365,1735,1262,1321
2031,1765,1398,1988,2290,2818,1850,1966,2878,2558,2624,2143
1038,1247,1444,1903,1597,1817,2593,2537,2122,1240,1196,2139
2204,2833,1826,1715,2680,2657,2057,2140,1047,1997,1528,1743
2521,1965,2071,1882,1308,1910,1507,2038,2589,2514,1799,2881
2336,2868,1762,2078,1499,2368,2693,2108,2794,2014,2647,1162
1152,1822,2771,1431,2188,2070,2595,2163,2656,2959,2767,1324
1948,1603,2405,2071,2727,2388,2649,2444,1534,2238,1642,2105
1016,1913,2006,1540,1866,1791,2745,2538,2389,1048,2962,2034
2127,2323,1703,2608,2701,2156,2930,2107,1679,1045,2029,1377
2274,2314,2438,1645,1945,1041,1401,2487,2371,2400,2972,1928
2060,2297,2344,1122,1001,1027,1997,2769,1483,2042,2226,1198
1960,2944,1350,2106,2637,2205,2193,2060,1209,2558,2060,2038
2766,2778,1007,2962,2912,2292,1538,2967,2046,1903,2023,1581
2961,2189,1862,1052,2732,1516,2615,2258,1546,1969,2543,2444
1367,1269,1657,1422,1839,1317,2707,1702,2387,1355,2093,2677
1757,2569,1561,2011,2592,1199,2003,1791,1974,1114,1106,2677
1686,2027,2765,1244,2470,2706,1943,1599,1646,1274,1788,1369
1899,2469,2196,1334,1848,2840,1679,2552,2831,1152,1488,1168
2589,2454,1436,1058,2886,1789,2596,2247,2424,2924,2750,2033
1213,1967,2197,1742,1563,2812,2237,2836,1916,2048,1713,1322
1624,2350,2127,2105,2730,2098,1024,1950,1065,2931,2643,1290
2410,1051,1054,1888,1856,2774,2029,2518,1413,1267,1607,2585
1519,2418,2126,1236,2096,1505,1449,2134,2231,2912,2419,2541
1798,1983,2700,1202,1184,2600,1661,1826,2055,1920,2746,1981
2395,1130,2619,1704,1406,2817,2896,1834,2559,1708,2325,1141
2969,2647,1264,2170,1741,2949,2900,1096,1503,1180,1343,2816
1898,1397,2002,2282,2340,2221,1514,1078,1023,2022,2272,1591
2363,2980,1518,1430,2533,1814,1334,2442,2664,1682,1043,1021
2479,1144,1693,1557,1076,2680,2405,2535,2965,1110,2758,2365
2582,2421,2260,1137,1310,2613,2768,1622,1530,1605,1109,1080
2158,1917,1639,2946,2817,2595,1233,2561,2364,2146,2700,1743
1370,1181,2255,1107,2793,2509,1060,2874,1849,2048,2322,2636
1448,2930,2698,2028,2499,2817,1806,2804,1948,2892,1658,2454
1095,1118,2481,1041,1539,1633,2903,1169,1518,2439,2546,1425
2007,2550,2050,1383,2176,1135,1305,1091,1792,1897,2214,1541
1294,2753,1650,2009,2665,2701,2100,1057,1972,2804,2884,2042
2255,1694,2926,1101,2314,2189,1434,1266,1963,1497,2678,1383
1867,1407,1063,1528,2365,2253,2365,2033,2561,1777,1177,1755
2723,2402,2236,1840,2373,1655,2123,1664,1012,2770,1494,2884
2995,1597,1519,1082,2554,1719,2276,2320,2023,2736,2370,2322
1657,2462,1751,2579,2627,2649,2577,2746,1560,1006,1319,2857
2433,1142,2696,1617,2977,1621,1744,1107,2294,2316,2351,1587
2998,1997,2752,2864,2833,2247,1785,2502,2064,2588,1393,1229
2642,1509,2143,1605,2844,2491,1183,2311,2918,1707,1602,2114
2865,2009,1809,2031,1601,1271,2838,2270,1522,1696,2560,1146
1695,1617,1582,2657,2598,2591,2623,2656,2416,1323,2122,2272
2053,2971,1056,1148,1050,2902,1003,2724,1045,1376,2918,1532
1017,2072,2172,1096,1700,1667,1903,1945,2132,2916,2496,1174
2097,1188,2588,2510,2181,2206,2975,1128,1539,2037,1113,1183
2536,2539,1584,2986,2458,2668,1154,2479,2984,2118,1089,2250
2232,1146,1073,2006,1622,1286,1658,2690,2611,2810,1613,1803
2283,2128,1249,1522,2622,1180,1576,2290,1444,2908,2556,2323
