UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
8144,9044,8043,8203,9236,8156,8357,8905,9578,8200,9129,9277
9850,9039,8003,9375,9679,9724,9143,9052,9100,9699,9327,8034
9330,8555,8945,9027,8661,8922,8487,8058,9937,8415,9729,8207
9828,8931,8527,8711,9667,9860,8597,8197,9039,8717,8729,9192
8937,9270,8764,8491,8804,9311,9894,8035,9355,9681,9147,9911
8228,9099,9496,8966,8020,8838,9856,9685,9449,9928,9825,9362
9578,8409,9417,8591,8868,8871,9265,9764,8194,9978,8802,9821
8161,9596,9058,9258,8280,8352,9431,9866,9188,8085,8486,8383
8942,8605,9247,9495,9085,9455,9669,8446,8334,9878,9354,9838
9762,9061,8199,9105,9123,8956,8478,9407,9626,8892,9075,9626
8502,8963,9080,9852,9495,9853,9865,8929,9382,9159,9177,8306
9216,8856,9448,8889,9202,8801,9250,8406,9078,9326,9756,9505
9765,8712,8147,8049,8028,8384,8325,8952,8369,9772,8065,9870
8466,8348,8767,8757,9215,9092,9084,8340,8446,9031,9740,8506
9930,9525,8908,8158,9412,9171,9496,9664,9706,9217,8219,8466
9136,9750,9445,9702,9333,9756,8255,9244,8106,8993,9322,8313
9757,8337,9627,9569,9950,8476,8538,9432,8992,8344,8295,9157
8052,8441,9163,8388,9840,8437,8316,8429,9453,8636,9283,8562
9748,9760,8396,9554,8787,9829,9430,8097,8542,9297,8976,9917
9790,8908,9267,8259,8119,9113,8218,9982,9861,9365,8576,9464
9887,8370,8234,9972,8875,8926,9065,8617,8299,8066,9475,9917
8338,8090,9304,8229,8271,9661,9970,9843,9823,8299,8069,8500
9797,8381,9419,8703,9135,9695,8298,9708,9621,9697,8295,8820
9460,8332,9965,9614,8070,8806,9332,9100,9201,8276,9797,8621
9686,9383,8483,9666,9343,9311,8566,9231,9054,9834,9902,9480
8873,8741,9957,8235,9804,8424,8020,9045,9970,9794,8876,9226
9520,8929,8906,9703,8984,9037,8945,9734,8918,8679,9252,8085
8668,9560,8127,8508,8148,9811,8995,8947,8318,8060,8558,8200
9848,9472,8060,9773,8413,9535,9847,8728,8424,9962,9514,8949
