UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
30953,61418,69820,52060,35215,61553,36568,39908,31948,38676,62840,49204
46827,35772,63219,35588,44583,38827,31512,42901,31711,50852,65110,58571
45913,35715,35856,34850,33003,37721,43198,46993,45506,44568,48395,49819
33244,43872,69096,37966,66893,69892,31700,69837,48736,43984,68707,37795
60318,61947,69993,35808,68268,66027,31722,57392,45464,56096,44174,64593
63395,48150,33639,51587,68252,42382,57380,53918,53232,31342,51726,61856
53146,42098,67149,48851,34148,46567,31131,53406,30080,33919,47509,60698
49039,49461,58402,53991,68969,36355,66615,62447,63362,46263,53560,59620
40004,68442,45119,68032,59211,66358,62645,35681,40730,49767,60788,52257
50234,60119,36439,47998,30444,36145,33178,68473,51801,68462,64679,60742
57319,63142,57670,65457,49194,57277,40579,34038,30806,69536,37776,65895
41044,54318,39102,44673,49104,36072,53110,47361,56905,52885,47258,61243
31213,55425,30618,57742,35720,64917,48388,31952,64047,58197,61992,41401
44471,34400,46805,64465,60087,54022,39992,35148,31503,31666,56807,46735
52393,32223,45389,59532,34321,39624,60837,40379,55694,33772,40070,53553
54207,33264,53173,65119,64488,60217,46617,36454,68322,42836,31676,57405
45686,64824,51286,49022,67813,60170,53089,36150,69380,57765,52615,30876
43319,63388,69996,32409,33074,42763,63920,36459,44977,31324,47927,35441
48710,46531,62876,69864,49959,60236,60317,53454,34955,32074,59447,68037
58269,67271,68373,61527,35958,66349,38472,42588,51277,50667,47289,69395
39590,44953,62781,39573,42764,44779,60717,56576,50277,57805,31892,66273
56681,68099,47225,63157,45836,39697,51326,63480,42490,65865,48485,65403
56307,46902,40871,38152,57781,30250,58100,46544,34581,49335,42335,67584
62369,69746,54205,57896,37335,41094,67973,60352,34826,48415,47426,61083
33033,67042,42495,32341,42923,51544,62756,62973,55302,53949,31020,60832
50136,45867,51045,47171,58369,61266,53919,49600,54379,38340,48457,43713
43370,34101,55643,38833,67010,62149,43331,69623,34267,51311,42253,69245
67043,58595,67598,39195,62040,64577,45361,43690,61449,33103,45058,58697
53972,53820,53931,67055,67200,56629,51773,57164,67614,62565,56259,51825
31414,56320,39377,39625,30392,54023,55405,55012,31121,34074,64411,40838
45798,67244,51407,50367,40358,37900,59843,59281,56430,44912,48001,53889
31052,69342,69578,41595,61846,47934,39372,61371,49259,30678,63434,50482
47355,43465,44286,51691,34892,44506,43455,46079,40969,63761,41896,34590
66736,30772,49119,50979,53875,42244,46438,57477,41242,66711,43546,32416
52913,45798,54223,40228,47276,34772,45468,56964,59897,65863,63185,50466
51149,60384,32365,65112,43415,51617,36721,45098,49535,52689,40820,45568
42355,35421,38317,62060,49941,66329,60743,57908,65202,57003,65306,68222
48280,65112,32662,40939,39208,38696,30769,40863,43125,43442,69244,64983
35406,56346,36477,50617,38552,54174,56178,53530,56319,34538,32641,66184
46001,39862,63436,53405,45254,69615,36180,67095,64769,36312,31346,52434
61212,48732,69565,36692,43979,59519,38214,42750,47614,34976,45184,63557
65803,55859,30119,53078,33440,68624,36356,51639,32404,32921,64466,63793
30271,30678,65740,65620,54567,54503,58938,57608,39523,38264,65653,37372
69866,46715,61382,57622,33755,59563,51704,40294,43978,56874,64658,46251
56164,57730,69862,64259,61781,58942,66699,68764,47334,67951,58639,32390
40498,33242,41497,65158,44594,52046,67217,32244,35955,59150,58315,37190
37840,32662,61168,65727,62762,59567,50386,52972,61967,41526,34470,53397
54544,56120,50913,48897,40412,34568,36166,55974,35706,37511,66976,57979
47746,47135,42792,53422,32224,40702,47491,38471,62728,57063,39309,34183
56436,55158,62452,37820,39892,33065,49358,59611,52014,45601,45053,39020
54214,34376,67306,38416,40837,37059,49859,52965,30257,51868,48021,47540
50737,62754,43481,65553,62405,61905,38481,60313,34392,54258,48763,47900
36378,33258,43162,69362,35485,58526,31030,33657,41849,33425,30616,40747
54294,36064,54698,62141,41452,37368,30237,42715,47207,67952,50710,46235
34077,57546,61781,51942,51951,33194,36254,54115,31073,65912,43678,58083
42472,44766,53129,47491,67285,53815,41648,37714,46755,66844,57220,69049
60306,55160,32180,56449,56301,55474,32625,47929,65274,64080,68584,61538
35093,48458,63812,54952,35762,64086,30188,33301,39205,58325,37206,67885
53045,66501,52725,35040,61336,50866,57059,62170,58516,40798,58126,63363
30665,43241,34948,30787,33137,54661,47520,51535,49363,37702,39309,50718
36153,37886,64784,51613,51592,34108,56523,52941,68428,40546,51571,36404
40661,32287,46405,44555,56753,53817,50289,33371,57615,56433,34766,59945
34949,47594,40765,36663,69921,43098,49716,43095,67384,45817,57215,31484
57137,49336,61623,36348,63991,56937,44505,69784,35318,55547,33956,35489
57404,69138,46462,55327,34338,37983,60319,43735,60190,55449,38967,46320
68621,50191,41320,42958,57026,44857,54991,51335,35365,31013,40451,30514
61651,61655,50964,44864,45520,42581,30975,59909,35288,41584,50584,39618
64553,61509,52938,69717,30469,35675,61770,56122,47668,63428,69348,65717
67269,56993,60379,31080,40852,31404,47172,36183,56428,59966,41456,63777
34232,56665,65625,41806,61214,62700,49925,32811,33736,49679,41085,50772
62679,64212,42345,32187,39650,57273,34481,50052,42698,39433,57953,39998
52531,40137,44214,49714,58741,44772,33778,35048,67867,50882,48236,41710
69458,69164,54225,51265,57127,63207,45960,55932,34679,60141,40556,38887
50092,66739,60625,68750,40983,52895,47362,55336,34656,46820,30909,31286
58533,32880,55448,38994,59874,68951,39932,69433,39181,39237,30477,47617
34167,38856,49767,49327,33555,49800,36233,64393,59058,34517,54924,66451
51816,50993,54218,51883,41302,38496,63089,42886,40611,33432,55094,57929
61380,60691,40607,54937,53096,37157,61313,42502,68840,64888,66134,44560
63036,67263,50084,33948,68509,47157,32828,60054,65097,32388,58454,60893
54575,56322,66453,51705,62256,46002,57475,54264,49539,55831,31133,59867
57158,64518,64723,69094,67237,60008,65574,37344,51209,63896,35492,32876
46976,66021,34572,31854,53079,38179,49161,54517,43754,40156,38778,33850
55051,68015,63385,30265,34450,58065,50605,59080,63659,50880,68560,41782
58795,67516,39784,45600,40795,32367,51602,60447,30285,38062,33146,66083
37233,35212,37390,53091,37620,42836,46926,54469,54499,54897,43941,53713
36432,45283,32785,49363,38936,39457,53856,43783,35367,51828,56558,34937
36181,47778,34798,49517,33812,39471,58666,30825,64232,42969,51100,50884
44899,35304,48542,58818,38705,58197,51222,51671,31672,30010,55744,40034
57324,67484,38720,68187,50184,60176,46997,60303,55257,46480,40947,56030
44470,56945,65897,47806,38113,39343,60026,33928,67969,45760,60528,58811
38935,60582,45977,49607,46077,56482,45746,63182,50116,50719,30571,69421
43361,62911,47465,38248,47952,44987,49336,68125,67326,56287,42860,58354
36601,63240,53579,31788,62553,38927,33215,54581,39468,53558,61200,64379
36059,67288,45372,43381,60924,55938,53142,42010,52581,49588,60771,68065
35566,52700,48909,43903,50397,33841,38063,65764,60689,50096,37938,68630
56790,51259,40716,62746,66302,43406,30557,37970,67629,48009,33823,61450
51971,44029,43178,62445,43802,34143,38698,41397,43930,54193,66400,46611
51103,34255,62600,30286,30992,45261,36743,43272,63835,44619,58336,55652
35585,60937,33539,65547,58965,36202,43684,56638,67641,31047,66620,36577
