TTI,UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
1,11016,11016,0,0,0,11016,11016,0,0,0,0,0
2,0,0,9224,9224,9224,0,0,0,0,11016,0,0
3,0,0,0,0,0,0,0,7808,4736,0,9224,6016
4,11016,11016,0,0,0,11016,11016,0,0,0,0,0
5,0,0,9224,9224,9224,0,0,0,0,11016,0,0
6,0,0,0,0,0,0,0,7808,4736,0,9224,6016
7,11016,11016,0,0,0,11016,11016,0,0,0,0,0
8,0,0,9224,9224,9224,0,0,0,0,11016,0,0
9,0,0,0,0,0,0,0,7808,4736,0,9224,6016
10,11016,11016,0,0,0,11016,11016,0,0,0,0,0
11,0,0,9224,9224,9224,0,0,0,0,11016,0,0
12,0,0,0,0,0,0,0,7808,4736,0,9224,6016
13,11016,11016,0,0,0,11016,11016,0,0,0,0,0
14,0,0,9224,9224,9224,0,0,0,0,11016,0,0
15,0,0,0,0,0,0,0,7808,4736,0,9224,6016
16,11016,11016,0,0,0,11016,11016,0,0,0,0,0
17,0,0,9224,9224,9224,0,0,0,0,11016,0,0
18,0,0,0,0,0,0,0,7808,4736,0,9224,6016
19,11016,11016,0,0,0,11016,11016,0,0,0,0,0
20,0,0,9224,9224,9224,0,0,0,0,11016,0,0
21,0,0,0,0,0,0,0,4736,7808,0,9224,11016
22,0,0,7808,0,0,0,7808,0,7808,0,0,11016
23,6016,0,0,7808,7808,0,0,0,0,0,9224,0
24,0,6016,0,0,0,6016,0,4736,0,0,0,11016
25,0,0,7808,7808,0,0,7808,0,7808,0,0,0
26,6016,0,0,0,7808,0,0,0,0,4736,9224,0
27,0,6016,0,0,0,6016,0,4736,0,0,0,11016
28,0,0,7808,7808,0,0,7808,0,7808,0,0,0
29,6016,0,0,0,7808,0,0,0,0,4736,9224,0
30,0,6016,0,0,0,6016,0,4736,0,0,0,11016
31,0,0,7808,7808,0,0,7808,0,7808,0,0,0
32,6016,0,0,0,7808,0,0,0,0,4736,9224,0
33,0,6016,0,0,0,6016,0,4736,0,0,0,11016
34,0,0,7808,7808,0,0,7808,0,7808,0,0,0
35,6016,0,0,0,7808,0,0,0,0,4736,9224,0
36,0,6016,0,0,0,6016,0,4736,0,0,0,11016
