TTI,UE0,UE1,UE2,UE3,UE4,UE5,UE6,UE7,UE8,UE9,UE10,UE11
1,13064,13064,18960,17424,0,0,0,0,0,0,0,0
2,0,0,0,0,6016,7808,9224,7808,0,0,0,0
3,0,0,0,0,0,0,0,0,2152,2152,1352,848
4,13064,13064,18960,17424,0,0,0,0,0,0,0,0
5,0,0,0,0,6016,7808,9224,7808,0,0,0,0
6,0,0,0,0,0,0,0,0,2152,2152,1352,848
7,13064,13064,18960,17424,0,0,0,0,0,0,0,0
8,0,0,0,0,6016,7808,9224,7808,0,0,0,0
9,0,0,0,0,0,0,0,0,2152,2152,1352,848
10,13064,13064,0,17424,6016,0,0,0,0,0,0,0
11,0,0,0,0,0,7808,9224,7808,2152,0,0,0
12,13064,0,0,0,0,0,0,0,0,2152,1352,848
13,0,0,0,0,6016,7808,9224,7808,0,0,0,0
14,0,0,0,0,0,0,0,0,2152,2152,1352,848
15,0,0,0,0,6016,7808,9224,7808,0,0,0,0
16,0,0,0,0,0,0,0,0,2152,2152,1352,848
17,0,0,0,0,6016,7808,9224,7808,0,0,0,0
18,0,0,0,0,0,0,0,0,2152,2152,1352,848
19,0,0,0,0,6016,0,0,7808,2152,2152,0,0
20,0,0,0,0,6016,0,0,0,2152,0,1352,848
21,17424,17424,18960,17424,0,0,0,0,0,0,0,0
22,17424,17424,18960,17424,0,0,0,0,0,0,0,0
23,0,0,0,0,11016,6016,0,0,3240,0,2152,0
24,0,17424,18960,0,0,0,4736,6016,0,0,0,0
25,17424,0,0,17424,11016,0,0,0,0,0,2152,0
26,0,0,0,0,0,6016,4736,6016,3240,0,0,0
27,17424,17424,0,0,11016,0,0,0,0,0,2152,0
28,0,0,0,0,0,6016,4736,6016,3240,0,0,0
29,0,0,0,0,11016,6016,0,0,3240,0,2152,0
30,0,0,0,0,11016,0,4736,6016,0,0,2152,0
31,0,0,0,0,0,6016,4736,6016,3240,0,0,0
32,0,0,0,0,0,6016,4736,0,3240,0,2152,0
33,0,0,0,0,0,6016,0,6016,3240,0,2152,0
34,0,0,0,0,0,6016,4736,6016,0,0,2152,0
35,0,0,0,0,0,0,4736,6016,3240,0,2152,0
36,0,0,0,0,0,6016,4736,6016,3240,0,0,0
37,0,0,0,0,0,0,4736,6016,3240,0,2152,0
38,0,0,0,0,0,0,4736,0,3240,0,2152,0
39,0,0,0,0,0,0,4736,0,3240,0,2152,0
40,0,0,0,0,0,0,4736,0,3240,0,2152,0
41,0,0,16392,16392,0,0,0,0,0,2152,0,3240
42,18960,18960,0,0,4736,0,0,0,0,0,0,3240
43,0,0,16392,16392,0,0,0,7808,0,2152,0,0
44,18960,18960,0,0,0,4736,11016,0,0,0,0,0
45,0,0,16392,0,4736,0,0,0,0,2152,0,3240
46,18960,18960,0,16392,0,0,0,7808,0,0,0,0
47,0,0,0,0,4736,4736,11016,0,0,0,2152,0
48,0,0,16392,16392,0,0,0,0,0,2152,0,3240
49,18960,18960,0,0,0,0,0,7808,0,0,2152,0
50,0,0,0,0,4736,4736,11016,0,1352,0,0,0
51,0,0,0,16392,0,0,0,7808,0,2152,0,3240
52,0,0,0,0,4736,4736,11016,0,0,0,2152,0
53,0,0,0,0,0,0,0,7808,1352,2152,0,3240
54,0,0,0,0,4736,4736,11016,0,0,0,2152,0
55,0,0,0,0,0,0,0,7808,1352,2152,0,3240
56,0,0,0,0,4736,4736,11016,0,0,0,2152,0
57,0,0,0,0,0,0,0,0,1352,2152,2152,3240
58,0,0,0,0,4736,4736,0,0,1352,0,0,3240
59,0,0,0,0,4736,4736,0,0,0,2152,2152,0
60,0,0,0,0,0,0,0,0,1352,2152,2152,3240
61,18960,15112,16392,16392,0,0,0,0,0,0,0,0
62,18960,15112,16392,16392,0,0,0,0,0,0,0,0
63,0,0,0,0,0,6016,4736,4224,0,0,3240,0
64,18960,15112,16392,0,4224,0,0,0,0,0,0,0
65,0,0,0,16392,0,6016,0,4224,0,0,3240,0
66,0,0,16392,0,4224,0,4736,0,848,0,0,0
67,0,15112,0,0,0,6016,0,4224,0,0,3240,0
68,0,0,0,0,4224,0,4736,0,848,848,0,0
69,0,0,0,0,0,6016,0,4224,0,848,3240,0
70,0,0,0,0,4224,0,4736,4224,848,0,0,0
71,0,0,0,0,0,6016,4736,0,0,848,3240,0
72,0,0,0,0,4224,6016,0,4224,848,0,0,0
73,0,0,0,0,0,0,4736,0,848,848,3240,0
74,0,0,0,0,4224,6016,0,4224,0,0,3240,0
75,0,0,0,0,4224,0,4736,0,848,848,0,0
76,0,0,0,0,0,6016,0,4224,0,848,3240,0
77,0,0,0,0,4224,0,4736,4224,848,0,0,0
78,0,0,0,0,0,6016,4736,0,0,848,3240,0
79,0,0,0,0,4224,6016,0,4224,848,0,0,0
80,0,0,0,0,0,0,4736,0,848,848,3240,0
81,18960,16392,18960,15112,0,0,0,0,0,0,0,0
82,18960,0,18960,15112,0,0,0,0,0,2152,0,0
83,0,16392,0,0,0,7808,0,4736,1352,0,0,0
84,18960,0,0,15112,4224,0,0,0,0,2152,0,0
85,0,16392,18960,0,0,7808,4224,0,0,0,0,0
86,0,0,0,0,4224,0,0,4736,1352,2152,0,0
87,18960,16392,18960,15112,0,0,0,0,0,0,0,0
88,0,0,0,0,0,7808,4224,4736,1352,0,0,0
89,0,16392,0,0,4224,0,0,0,0,2152,848,0
90,0,0,0,0,0,7808,4224,4736,1352,0,0,0
91,0,0,0,0,4224,0,4224,0,0,2152,848,0
92,0,0,0,0,4224,7808,0,4736,1352,0,0,0
93,0,0,0,0,0,7808,4224,0,0,2152,848,0
94,0,0,0,0,4224,0,0,4736,1352,2152,0,0
95,0,0,0,0,0,7808,4224,0,1352,0,848,0
96,0,0,0,0,4224,0,0,4736,0,2152,848,0
97,0,0,0,0,0,7808,4224,4736,1352,0,0,0
98,0,0,0,0,4224,0,4224,0,0,2152,848,0
99,0,0,0,0,4224,7808,0,4736,1352,0,0,0
100,0,0,0,0,0,7808,4224,0,0,2152,848,0
101,13064,0,16392,16392,0,0,0,0,0,0,0,1352
102,0,13064,0,0,11016,0,11016,9224,0,0,0,0
103,13064,0,16392,16392,0,0,0,0,0,0,0,1352
104,0,13064,0,0,11016,0,0,0,1352,3240,0,0
105,0,0,0,0,0,7808,11016,9224,0,0,0,1352
106,13064,13064,16392,16392,0,0,0,0,0,0,0,0
107,0,0,0,0,11016,0,11016,0,1352,3240,0,0
108,0,0,0,16392,0,7808,0,9224,0,0,0,1352
109,13064,13064,16392,0,0,0,0,0,0,3240,0,0
110,0,0,0,0,11016,0,11016,9224,1352,0,0,0
111,13064,0,0,0,0,7808,0,0,0,3240,0,1352
112,0,0,0,0,11016,0,11016,9224,1352,0,0,0
113,0,0,0,0,0,7808,0,0,1352,3240,0,1352
114,0,0,0,0,11016,0,11016,9224,0,0,0,1352
115,0,0,0,0,11016,7808,0,0,1352,3240,0,0
116,0,0,0,0,0,7808,11016,9224,0,0,0,1352
117,0,0,0,0,0,0,0,9224,1352,3240,0,1352
118,0,0,0,0,0,7808,0,9224,1352,3240,0,0
119,0,0,0,0,0,0,0,9224,1352,3240,0,1352
120,0,0,0,0,0,0,0,0,1352,3240,0,1352
121,0,13064,16392,18960,0,0,0,0,0,0,1352,0
122,18960,0,0,0,7808,0,11016,0,0,0,1352,0
123,18960,13064,16392,18960,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,11016,0,2152,0,1352,2152
125,0,13064,16392,18960,7808,0,0,0,0,0,0,0
126,18960,0,0,0,0,4224,0,7808,0,3240,0,0
127,0,0,0,0,0,0,11016,0,2152,0,1352,2152
128,0,13064,16392,0,7808,4224,0,0,0,0,0,0
129,18960,0,0,0,0,0,0,7808,0,3240,0,2152
130,0,0,0,0,7808,0,11016,0,2152,0,1352,0
131,0,13064,0,0,0,4224,0,7808,0,3240,0,0
132,0,0,0,0,0,0,11016,0,2152,0,1352,2152
133,0,0,0,0,7808,4224,0,7808,0,3240,0,0
134,0,0,0,0,7808,0,0,0,2152,0,1352,2152
135,0,0,0,0,0,4224,0,7808,0,3240,0,2152
136,0,0,0,0,7808,4224,0,0,2152,0,1352,0
137,0,0,0,0,0,0,0,7808,2152,3240,0,2152
138,0,0,0,0,0,4224,0,7808,0,3240,1352,0
139,0,0,0,0,0,4224,0,0,2152,0,1352,2152
140,0,0,0,0,0,0,0,0,2152,3240,1352,2152
141,17424,15112,16392,15112,0,0,0,0,0,0,0,0
142,17424,0,16392,15112,0,0,4736,0,0,0,0,0
143,0,15112,0,0,4224,7808,0,0,0,0,0,3240
144,17424,0,16392,15112,0,0,4736,0,0,0,0,0
145,0,15112,0,0,4224,7808,0,4736,0,0,0,0
146,0,0,0,15112,0,0,4736,4736,0,0,0,3240
147,0,15112,0,0,4224,7808,0,0,0,0,0,3240
148,0,0,0,0,4224,7808,4736,4736,0,0,0,0
149,0,0,0,0,0,7808,4736,4736,0,0,0,3240
150,0,0,0,0,4224,0,4736,4736,0,0,0,3240
151,0,0,0,0,4224,7808,4736,0,0,0,0,3240
152,0,0,0,0,4224,7808,0,4736,0,0,0,3240
153,0,0,0,0,4224,7808,4736,4736,0,0,0,0
